Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,0,9326.571,-0.06705314,-0.01720208,-1.7921785071421321,-0.06893521,969,605,1102.23974609375,-1775.66845703125,1968,0.21747967479674796,0.6207463683488474,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,20,8527.884,-0.14659834,-0.03885621,-2.227328354444086,-0.14752984,1862,229,2819.48876953125,-4291.6044921875,3730,0.3002680965147453,0.6569777747842069,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,60,9374.788,-0.06225735,-0.0159415,-1.1286714741819086,-0.08948209,837,333,1819.4935302734375,-2444.70556640625,1696,0.26297169811320753,0.7442587587134746,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,20,8538.0,-0.14558595,-0.038571298,-2.211676981041718,-0.14651823,1858,231,2810.29296875,-4272.2919921875,3722,0.30037614185921546,0.657795153956945,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,0,9326.571,-0.06705314,-0.01720208,-1.7921785071421321,-0.06893521,969,605,1102.23974609375,-1775.66845703125,1968,0.21747967479674796,0.6207463683488474,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,60,9381.964,-0.06153989,-0.015753329,-1.1349269579825838,-0.08876211,835,336,1804.9615478515625,-2422.998046875,1692,0.2624113475177305,0.7449290147713762,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,60,9414.169,-0.05759561,-0.014720798,-1.1934685309953206,-0.08104424,814,399,1662.93701171875,-2248.767333984375,1652,0.25907990314769974,0.7394882461105264,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,9340.722,-0.06563747,-0.01682949,-1.8071380493284679,-0.067817196,967,607,1104.3170166015625,-1763.595703125,1964,0.21792260692464357,0.6261735695118615,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,20,8749.137,-0.12445706,-0.032681763,-2.474385509612122,-0.1254086,1568,365,2192.8310546875,-3443.69384765625,3150,0.2914285714285714,0.6367671319504558,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,0,9407.3545,-0.05805713,-0.014841437,-1.3341501198695631,-0.05925485,480,308,1120.748779296875,-1713.3941650390625,971,0.2121524201853759,0.6541103046602962,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,20,8489.409,-0.15112084,-0.040132105,-1.786892995986068,-0.15492931,983,156,2923.93896484375,-4434.52978515625,1965,0.2916030534351145,0.659357159947619,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,60,9132.002,-0.087587655,-0.022655249,-1.2438450660549916,-0.11495469,402,150,1716.88525390625,-2584.88330078125,815,0.26012269938650306,0.6642022304787771,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,0,9386.644,-0.060557306,-0.015495777,-1.5232974169985982,-0.06835058,2020,1233,1270.42236328125,-1883.77880859375,4115,0.21992709599027946,0.6744010270662437,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,20,8498.419,-0.14885008,-0.03949082,-2.6436478774511567,-0.15118164,3753,489,2874.350341796875,-4375.93017578125,7514,0.3051636944370508,0.6568547089039662,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.0,60,9424.773,-0.05739379,-0.014668047,-1.0762111011182582,-0.080696255,2014,836,1997.508056640625,-2572.734130859375,4083,0.2733284349742836,0.776414489426233,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,0,9407.3545,-0.05805713,-0.014841437,-1.3341501198695631,-0.05925485,480,308,1120.748779296875,-1713.3941650390625,971,0.2121524201853759,0.6541103046602962,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,60,9154.464,-0.0853436,-0.022054851,-1.261930450147774,-0.11269954,401,152,1695.962890625,-2541.4990234375,813,0.25953259532595324,0.6673081024171036,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,20,8508.262,-0.14923567,-0.039599657,-1.7664207726852386,-0.15304403,979,158,2906.341796875,-4398.0810546875,1957,0.2917731221257026,0.660820426166863,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,0,9409.814,-0.057810962,-0.014777064,-1.3403122472561546,-0.059008893,480,308,1121.7147216796875,-1711.90087890625,971,0.2121524201853759,0.655245134517579,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,20,8856.061,-0.114457965,-0.029931724,-1.8382770575595846,-0.11593462,821,216,2257.126953125,-3401.06689453125,1645,0.2838905775075988,0.6636526193455208,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.05,60,9297.897,-0.07101238,-0.018246472,-1.1637852431588303,-0.094919026,377,170,1572.978515625,-2275.08154296875,766,0.2584856396866841,0.69139434605602,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,0,9386.644,-0.060557306,-0.015495777,-1.5232974169985982,-0.06835058,2020,1233,1270.42236328125,-1883.77880859375,4115,0.21992709599027946,0.6744010270662437,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,20,8532.414,-0.14544535,-0.03853172,-2.622021012930212,-0.14778168,3739,495,2865.34619140625,-4332.93359375,7486,0.3053700240448838,0.6612947393284176,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,0,9400.549,-0.059165478,-0.015131354,-1.5764741984049941,-0.06748997,2009,1233,1251.2628173828125,-1850.71435546875,4093,0.2154898607378451,0.676097212779166,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,60,9445.584,-0.055312753,-0.014124632,-1.0601926213194592,-0.078614175,2010,843,1987.1865234375,-2541.60302734375,4075,0.27312883435582824,0.7818634547009982,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,20,8696.245,-0.12927908,-0.03401643,-3.0865469141572484,-0.1308165,3033,651,2166.228759765625,-3469.984375,6099,0.2975897688145598,0.6242762288419886,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,60,9377.091,-0.06180334,-0.01582241,-1.3504164026363534,-0.07855776,1910,929,1746.8369140625,-2369.745849609375,3882,0.2660999484801649,0.7371410374451951,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin60.csv
