,coverage,passed
agr,0.8394069541683826,True
egr,0.8351003118197329,True
bm,0.8344649055715715,True
chtx,0.8135671000764841,True
cash_ratio,0.8133552979937636,True
roa,0.8075778078484438,True
roe,0.8053068188503854,True
ep,0.8000353003471201,True
capital_intensity,0.7910101782667529,True
tb,0.7313055245043243,True
lgr,0.7051950344178385,True
currat,0.7033476495852209,True
cfp,0.6999352826969465,False
cashpr,0.697370124139554,False
pchcurrat,0.6955109725245632,False
accruals,0.6848855680414191,False
pctacc,0.6848855680414191,False
absacc,0.6848855680414191,False
depr,0.6814261340236513,False
invest,0.6700241219038654,False
operprof,0.6693651820909572,False
pchdepr,0.6426075189739365,False
pchcapx,0.6194622580455375,False
asset_turnover,0.6044949108666235,False
sp,0.5982820497734894,False
leverage,0.5823733600047067,False
dy,0.5804906748249691,False
salecash,0.577643113490616,False
lev,0.5742307466023416,False
roic,0.5723598282049773,False
sgr,0.5586985938695064,False
chinv,0.5330705418603283,False
quick,0.5315173265870448,False
pchquick,0.5227275401541448,False
tang,0.490310054715538,False
cashdebt,0.48794493145849266,False
op_margin,0.47682532211566747,False
salerec,0.4462787550744249,False
gma,0.41043713596517034,False
gross_margin,0.26950638347943756,False
