Date,SSD_Basic_full,SSD_Basic_current
2001-01-02,10000.0,9999.3333
2001-01-03,10000.0,10017.7263
2001-01-04,10000.0,10017.0187
2001-01-05,10000.0,10016.9825
2001-01-08,10000.0,10015.1024
2001-01-09,10000.0,10018.0116
2001-01-10,10000.0,10018.0116
2001-01-11,10000.0,10018.0116
2001-01-12,10000.0,10018.0116
2001-01-16,10000.0,10018.0116
2001-01-17,10000.0,10018.0116
2001-01-18,10000.0,10018.0116
2001-01-19,10000.0,10018.0116
2001-01-22,10000.0,10018.0116
2001-01-23,10000.0,10018.0116
2001-01-24,10000.0,10018.0116
2001-01-25,10000.0,10018.0116
2001-01-26,10000.0,10018.0116
2001-01-29,10000.0,10018.0116
2001-01-30,10000.0,10018.0116
2001-01-31,10000.0,10018.0116
2001-02-01,10000.0,10017.3449
2001-02-02,10000.0,10019.8265
2001-02-05,10000.0,10013.5417
2001-02-06,10000.0,10016.2918
2001-02-07,10000.0,10016.4743
2001-02-08,10000.0,10014.5984
2001-02-09,10000.0,10014.786
2001-02-12,10000.0,10009.8432
2001-02-13,10000.0,10009.7614
2001-02-14,10000.0,10011.6968
2001-02-15,10000.0,10010.2748
2001-02-16,10000.0,10016.8488
2001-02-20,10000.0,10016.319
2001-02-21,10000.0,10018.5578
2001-02-22,10000.0,10011.4462
2001-02-23,10000.0,10007.9129
2001-02-26,10000.0,10009.8203
2001-02-27,10000.0,10017.002
2001-02-28,10000.0,10008.216
2001-03-01,10000.0,10003.1609
2001-03-02,10000.0,10013.7534
2001-03-05,10000.0,10000.3485
2001-03-06,10000.0,9978.8578
2001-03-07,10000.0,9981.8042
2001-03-08,10000.0,9985.3646
2001-03-09,10000.0,9988.3335
2001-03-12,10000.0,9972.325
2001-03-13,10000.0,9985.7774
2001-03-14,10000.0,9981.1576
2001-03-15,10000.0,9984.4654
2001-03-16,10000.0,9994.071
2001-03-19,10000.0,9997.8015
2001-03-20,10000.0,9988.4574
2001-03-21,10000.0,9998.1365
2001-03-22,10000.0,9999.2138
2001-03-23,10000.0,10002.7567
2001-03-26,10000.0,10008.3357
2001-03-27,10000.0,10019.1299
2001-03-28,10000.0,10026.303
2001-03-29,10000.0,10025.0451
2001-03-30,10000.0,10019.2526
2001-04-02,10000.0,10024.4286
2001-04-03,10000.0,10017.1288
2001-04-04,10000.0,10027.4205
2001-04-05,9999.3333,10024.1163
2001-04-06,9993.9733,10016.8128
2001-04-09,9994.7637,10010.0346
2001-04-10,9987.6151,10008.1265
2001-04-11,9996.824,10013.6029
2001-04-12,9991.9148,10017.755
2001-04-16,9992.197,10013.9614
2001-04-17,9989.254,9998.542
2001-04-18,9997.9163,10011.3019
2001-04-19,9999.6533,10016.4762
2001-04-20,10003.6526,10013.7572
2001-04-23,9999.7371,10015.4529
2001-04-24,9999.7103,10021.3344
2001-04-25,9997.0406,10011.4296
