Entry_Z,Z_Window,Top_N_Pairs,Stop_Loss,CAGR (%),ExCAGR (%),Sharpe Ratio,Calmar Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Avg Payoff Ratio,Avg R_EC (%),Avg R_CC (%)
2.0,60,1,100%,0.79,-4.21,-0.57,0.03,-28.02,49.3,53.1,749,8.32,0.19,0.19
2.0,20,1,100%,-1.66,-6.66,-0.8,-0.03,-49.89,39.8,57.2,1338,5.38,-0.79,-0.79
2.0,60,1,15%,-0.42,-5.42,-0.88,-0.01,-29.47,48.6,52.8,741,8.25,-0.24,-0.24
2.0,60,3,100%,-0.06,-5.06,-0.95,-0.0,-24.63,49.3,53.4,2259,2.36,0.08,0.05
2.0,20,3,100%,-1.67,-6.67,-1.06,-0.04,-44.03,36.1,58.0,3985,1.58,-0.67,-0.67
2.0,20,1,15%,-2.4,-7.4,-1.1,-0.05,-52.82,38.4,57.1,1302,5.33,-1.07,-1.07
2.0,60,3,15%,-0.34,-5.34,-1.21,-0.02,-22.16,48.3,53.2,2224,2.31,-0.1,-0.12
2.0,60,1,5%,-1.13,-6.13,-1.42,-0.03,-32.98,38.8,49.7,628,7.59,-0.65,-0.65
2.0,20,3,15%,-2.26,-7.26,-1.46,-0.05,-49.55,34.7,57.8,3887,1.55,-0.98,-0.98
2.0,20,1,5%,-2.18,-7.18,-1.8,-0.04,-50.66,32.3,56.0,968,4.42,-1.05,-1.05
2.0,60,3,5%,-1.24,-6.24,-2.18,-0.04,-30.64,38.1,50.6,1877,1.83,-0.59,-0.61
2.0,20,3,5%,-2.26,-7.26,-2.63,-0.05,-45.73,32.0,56.7,2857,1.01,-1.09,-1.09
