Entry_Z,Z_Window,Top_N_Pairs,Stop_Loss,Annualized Return (%),ExCAGR (%),Sharpe Ratio,Calmar Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Avg Payoff Ratio,Avg R_EC (%)
2.0,20,3,15%,-0.98,-5.98,-1.28,-0.03,-30.16,45.9,59.9,3644,1.92,-0.4
2.0,60,3,15%,-0.29,-5.29,-1.34,-0.01,-23.02,52.7,62.6,1808,4.36,-0.07
2.0,0,3,15%,-1.69,-6.69,-1.44,-0.04,-38.1,41.2,53.8,1420,4.61,-0.91
2.0,20,5,15%,-1.26,-6.26,-1.46,-0.04,-33.64,42.5,59.5,6051,1.38,-0.6
2.0,60,5,15%,-0.31,-5.31,-1.54,-0.01,-21.62,52.0,62.3,3026,2.02,-0.11
2.0,20,3,5%,-1.43,-6.43,-1.61,-0.04,-34.93,43.5,58.8,3664,1.63,-0.64
2.0,0,5,15%,-1.43,-6.43,-1.64,-0.04,-34.39,38.8,54.5,2379,4.21,-0.75
2.0,20,5,5%,-1.6,-6.6,-1.76,-0.04,-37.28,39.1,58.5,6081,1.11,-0.8
2.0,60,3,5%,-0.57,-5.57,-1.91,-0.03,-22.55,43.2,58.9,1815,2.97,-0.25
2.0,0,3,5%,-1.18,-6.18,-2.02,-0.04,-28.3,40.1,49.9,1422,4.07,-0.65
2.0,60,5,5%,-0.36,-5.36,-2.09,-0.02,-18.86,46.3,58.8,3036,1.68,-0.16
2.0,0,5,5%,-1.19,-6.19,-2.36,-0.04,-28.35,39.5,50.1,2387,3.84,-0.65
2.0,60,20,15%,-0.64,-5.64,-2.41,-0.03,-19.85,39.1,61.4,11945,1.12,-0.31
2.0,0,20,15%,-0.77,-5.77,-2.43,-0.03,-22.72,39.1,54.9,9327,1.06,-0.39
2.0,20,20,15%,-1.67,-6.67,-2.53,-0.05,-35.23,32.7,58.9,24144,0.91,-0.83
2.0,20,5,0%,-3.19,-8.19,-2.82,-0.06,-55.93,10.9,13.7,6308,0.51,-1.64
2.0,20,3,0%,-3.23,-8.23,-2.98,-0.06,-56.49,15.6,13.3,3797,0.55,-1.62
2.0,20,20,5%,-2.11,-7.11,-3.39,-0.05,-41.56,23.8,57.9,24295,0.84,-1.06
2.0,60,20,5%,-0.9,-5.9,-3.63,-0.04,-21.93,36.1,57.8,11975,0.94,-0.45
2.0,60,3,0%,-1.46,-6.46,-3.68,-0.05,-32.05,22.4,11.1,1875,0.69,-0.73
2.0,0,20,5%,-0.94,-5.94,-3.86,-0.04,-22.97,33.0,49.9,9361,0.9,-0.5
2.0,60,5,0%,-1.38,-6.38,-4.35,-0.05,-30.35,20.4,11.5,3129,0.73,-0.71
2.0,0,3,0%,-1.51,-6.51,-4.69,-0.05,-32.34,19.7,8.5,1466,0.54,-0.8
2.0,20,20,0%,-3.12,-8.12,-5.37,-0.06,-54.58,4.8,13.6,25220,0.48,-1.6
2.0,0,5,0%,-1.43,-6.43,-5.93,-0.05,-30.71,18.4,8.5,2447,0.55,-0.74
2.0,60,20,0%,-1.36,-6.36,-7.33,-0.05,-28.87,11.6,10.7,12286,0.53,-0.7
2.0,0,20,0%,-1.15,-6.15,-10.79,-0.04,-25.98,13.3,8.5,9596,0.53,-0.6
