Entry_Z,Z_Window,Top_N_Pairs,Stop_Loss,CAGR (%),ExCAGR (%),Sharpe Ratio,Calmar Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Avg Payoff Ratio,Avg R_EC (%)
2.0,0,3,15%,-2.57,-7.57,-1.26,-0.05,-51.86,39.8,51.1,2001,5.08,-1.34
3.0,0,3,15%,-1.87,-6.87,-1.32,-0.04,-42.52,42.9,48.0,1459,3.12,-0.9
2.0,60,3,15%,-0.75,-5.75,-1.34,-0.03,-30.13,50.0,62.0,1917,3.56,-0.33
2.0,20,3,15%,-1.05,-6.05,-1.36,-0.03,-31.24,45.2,59.8,3752,1.76,-0.47
2.0,0,5,15%,-2.26,-7.26,-1.43,-0.05,-46.84,37.1,51.2,3315,1.88,-1.2
2.0,60,5,15%,-0.49,-5.49,-1.5,-0.02,-25.47,52.4,62.0,3212,2.05,-0.19
3.0,0,5,15%,-1.57,-6.57,-1.52,-0.04,-36.01,40.1,47.5,2390,2.22,-0.81
2.0,20,5,15%,-1.5,-6.5,-1.64,-0.04,-37.19,40.5,59.4,6216,1.37,-0.71
3.0,60,3,15%,-0.07,-5.07,-1.72,-0.0,-15.16,45.9,55.8,559,20.69,-0.14
2.0,0,3,5%,-1.17,-6.17,-1.94,-0.04,-29.38,38.8,49.2,1641,4.49,-0.63
3.0,0,3,5%,-1.15,-6.15,-2.03,-0.04,-27.39,39.8,45.3,1226,1.63,-0.58
3.0,60,5,15%,0.13,-4.87,-2.04,0.01,-11.51,47.3,56.9,945,5.63,-0.03
2.0,0,20,15%,-1.12,-6.12,-2.1,-0.04,-28.73,37.4,52.5,12968,1.02,-0.58
3.0,0,20,15%,-0.57,-5.57,-2.11,-0.03,-16.33,41.8,49.4,9183,1.17,-0.31
3.0,20,3,15%,0.27,-4.73,-2.13,0.03,-7.98,44.2,54.2,550,3.86,0.07
2.0,60,3,5%,-0.85,-5.85,-2.17,-0.03,-24.53,41.5,59.5,1733,2.01,-0.4
2.0,20,3,5%,-1.33,-6.33,-2.22,-0.04,-33.23,39.1,58.6,3117,1.4,-0.66
2.0,60,5,5%,-0.4,-5.4,-2.28,-0.02,-18.72,45.2,60.2,2901,1.7,-0.17
2.0,0,5,5%,-1.36,-6.36,-2.38,-0.04,-31.84,36.7,48.7,2710,1.54,-0.73
2.0,60,20,15%,-0.69,-5.69,-2.43,-0.03,-20.79,39.8,61.2,12567,1.13,-0.34
3.0,0,5,5%,-1.34,-6.34,-2.47,-0.04,-30.48,34.7,43.6,1995,1.7,-0.78
3.0,60,3,5%,-0.13,-5.13,-2.5,-0.01,-11.38,41.2,53.0,551,2.61,-0.15
3.0,20,3,5%,-0.22,-5.22,-2.62,-0.02,-14.15,42.2,51.6,541,3.64,-0.29
3.0,20,5,15%,0.05,-4.95,-2.65,0.01,-6.82,48.0,53.3,919,3.25,-0.04
2.0,20,5,5%,-1.55,-6.55,-2.67,-0.04,-35.47,36.4,58.6,5113,1.04,-0.78
3.0,60,5,5%,0.09,-4.91,-2.77,0.01,-8.48,44.2,54.2,930,5.07,-0.04
2.0,20,20,15%,-1.85,-6.85,-2.77,-0.05,-38.21,30.6,58.9,24837,0.9,-0.92
3.0,60,20,15%,0.1,-4.9,-2.96,0.02,-5.99,50.0,56.8,3742,3.13,0.09
3.0,20,5,5%,-0.18,-5.18,-3.15,-0.02,-9.41,42.9,51.4,903,3.04,-0.28
3.0,0,20,5%,-0.82,-5.82,-3.84,-0.04,-20.07,34.4,45.1,7677,0.94,-0.45
2.0,0,20,5%,-1.08,-6.08,-3.85,-0.04,-25.77,33.0,49.0,10473,0.9,-0.58
2.0,60,20,5%,-0.86,-5.86,-4.2,-0.04,-21.01,32.7,58.9,11294,0.93,-0.43
3.0,20,20,15%,-0.05,-5.05,-4.4,-0.01,-5.03,44.9,55.4,3701,2.41,-0.1
3.0,60,20,5%,-0.05,-5.05,-4.6,-0.01,-5.58,44.9,52.5,3673,1.61,-0.06
2.0,20,20,5%,-1.7,-6.7,-4.76,-0.05,-35.03,24.5,58.6,20142,0.82,-0.86
3.0,20,20,5%,-0.23,-5.23,-5.46,-0.03,-6.72,38.8,53.7,3596,1.74,-0.25
