Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr
CMS,XEL,0.030263,1,0.9877
CMS,DTE,0.057171,2,0.9868
SO,XEL,0.065146,3,0.9778
ES,SO,0.066107,4,0.9558
LNT,PPL,0.072039,5,0.9722
AVB,UDR,0.074136,6,0.9872
ALL,BRK-B,0.083162,7,0.9762
CMS,SO,0.08615,8,0.9753
DTE,XEL,0.086933,9,0.9788
CMS,PCG,0.093929,10,0.9619
PCG,XEL,0.095324,11,0.9619
NEE,PPL,0.099354,12,0.9581
FRT,SPG,0.099417,13,0.9769
LNT,MAC,0.100676,14,0.9634
ES,XEL,0.103879,15,0.9535
LNT,XEL,0.104388,16,0.9682
IEX,PPG,0.106421,17,0.9285
AON,GL,0.107804,18,0.8877
ES,WEC,0.109033,19,0.9436
GE,UPS,0.109369,20,0.7514
