Ticker_A,Ticker_B,SSD,Rank,Pearson_Corr,Hedge_Ratio
AEE,LNT,0.083126,1,0.9644,0.9356
CMS,WEC,0.150565,2,0.9252,0.8258
CPT,MAA,0.150627,3,0.9873,0.9014
CMS,LNT,0.205869,4,0.9178,0.7635
AEE,CMS,0.211704,5,0.901,1.0508
PEP,VZ,0.225995,6,0.7437,0.8244
ESS,UDR,0.231904,7,0.985,1.0231
CMS,XEL,0.240872,8,0.9422,0.7997
ATO,GIS,0.243968,9,0.7832,1.0101
ED,ETR,0.244479,10,0.8637,0.7781
HSY,MDLZ,0.255714,11,0.9238,1.1738
LNT,XEL,0.265085,12,0.9035,0.9213
DTE,ITW,0.279495,13,0.9596,0.8954
MCO,SPGI,0.282118,14,0.9016,0.8706
AON,WTW,0.285621,15,0.9794,1.0281
RSG,WM,0.298967,16,0.9613,0.9097
IBM,T,0.300064,17,0.8827,1.1693
AEP,ED,0.300189,18,0.8653,0.8347
HSY,KO,0.30355,19,0.896,0.9748
KO,MDLZ,0.30582,20,0.8756,1.0277
