Ticker_A,Ticker_B,SSD,Hedge_Ratio,Rank,Mean_A,Std_A,Mean_B,Std_B
CPT,MAA,3.8066,0.9924,1,129.29435527135456,16.068732892048537,162.43560388353137,19.0009325503515
AVB,EQR,4.811566,0.9904,2,195.69222277686708,17.16535343461793,70.18773528507778,4.942763081259772
COP,DVN,6.125222,0.9877,3,59.18347665998671,13.442364988435834,30.20606544282701,10.023742507477534
AVB,UDR,7.201735,0.9855,4,195.69222277686708,17.16535343461793,44.88432757059733,3.8204533271537513
MAA,UDR,7.653188,0.9846,5,162.43560388353137,19.0009325503515,44.88432757059733,3.8204533271537513
COR,MCK,8.60761,0.9827,6,118.38326363336472,11.477051767225115,215.77924643622504,32.878614232982756
AVB,MAA,8.897072,0.9821,7,195.69222277686708,17.16535343461793,162.43560388353137,19.0009325503515
CMA,ZION,9.664332,0.9806,8,66.49458237299844,8.488753227550609,51.89356086367653,5.585606076734721
APA,EOG,10.115997,0.9796,9,22.03881261083815,5.8851859385103635,71.34989462958441,14.114976791919252
EOG,XOM,10.39224,0.9791,10,71.34989462958441,14.114976791919252,54.65290065038772,8.150132235153302
CMA,FITB,10.393395,0.9791,11,66.49458237299844,8.488753227550609,35.68533037579249,3.3169855751674246
EQR,UDR,10.75977,0.9783,12,70.18773528507778,4.942763081259772,44.88432757059733,3.8204533271537513
AVB,CPT,10.918301,0.978,13,195.69222277686708,17.16535343461793,129.29435527135456,16.068732892048537
CPT,UDR,11.156709,0.9775,14,129.29435527135456,16.068732892048537,44.88432757059733,3.8204533271537513
COP,MUR,11.279193,0.9773,15,59.18347665998671,13.442364988435834,22.396642166470723,5.3738919091753
FITB,KEY,11.402047,0.977,16,35.68533037579249,3.3169855751674246,17.965182830416968,1.6978279932412454
APA,COP,11.847507,0.9761,17,22.03881261083815,5.8851859385103635,59.18347665998671,13.442364988435834
HAL,XOM,11.946833,0.9759,18,22.55504972972567,4.711404717522456,54.65290065038772,8.150132235153302
MUR,WMB,12.032801,0.9757,19,22.396642166470723,5.3738919091753,22.276221267760747,2.3923145991116073
COP,EOG,12.106637,0.9756,20,59.18347665998671,13.442364988435834,71.34989462958441,14.114976791919252
