Z_Window,Top_N_Pairs,Stop_Loss,Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Period Win Rate (%),Trade Win Rate (%),Total Trades,Stop Losses,Forced Exits,Avg Payoff Ratio,Avg R_EC (%)
0,5,0% (No SL),0.09,0.03,-14.18,48.3,60.9,2354,0,1084,2.47,0.1
0,5,15%,0.03,0.01,-13.46,46.9,60.6,2358,74,1021,2.41,0.07
0,3,15%,-0.11,-0.03,-18.83,46.6,60.0,1436,46,613,3.58,0.01
0,20,0% (No SL),-0.07,-0.03,-14.74,45.9,59.0,9030,0,4438,1.18,-0.02
0,3,0% (No SL),-0.2,-0.04,-19.85,46.9,60.1,1432,0,653,4.3,-0.01
0,20,15%,-0.25,-0.13,-14.86,42.9,58.6,9039,363,4110,1.12,-0.11
60,3,0% (No SL),-1.1,-0.21,-30.46,35.0,52.1,2592,0,393,1.73,-0.54
0,3,5%,-0.66,-0.25,-18.36,44.2,55.7,1442,291,419,1.99,-0.3
0,5,5%,-0.61,-0.28,-19.18,41.5,56.1,2367,490,695,1.5,-0.27
60,3,15%,-1.23,-0.28,-30.08,34.0,52.0,2592,46,382,1.7,-0.61
60,5,0% (No SL),-1.24,-0.31,-31.26,34.0,53.3,4314,0,648,1.2,-0.59
60,5,15%,-1.37,-0.4,-33.62,32.7,53.3,4314,74,630,1.18,-0.66
60,3,5%,-2.09,-0.58,-43.79,31.0,50.6,2602,348,321,1.6,-0.98
0,20,5%,-0.83,-0.61,-20.75,35.7,53.3,9081,2209,2671,0.93,-0.42
60,5,5%,-1.95,-0.7,-42.09,33.3,51.9,4328,571,529,1.07,-0.96
60,20,0% (No SL),-1.74,-0.71,-37.06,26.2,53.9,17337,0,2678,0.8,-0.88
60,20,15%,-1.82,-0.84,-38.15,24.8,53.7,17350,360,2601,0.79,-0.92
20,3,0% (No SL),-4.25,-1.02,-66.66,18.4,43.5,4577,0,315,0.69,-2.12
20,3,15%,-4.39,-1.09,-67.89,18.0,43.5,4577,28,313,0.66,-2.21
20,5,0% (No SL),-4.16,-1.28,-65.74,15.3,44.5,7708,0,533,0.62,-2.1
20,3,5%,-4.68,-1.35,-70.2,15.3,43.0,4592,356,286,0.6,-2.38
60,20,5%,-2.3,-1.37,-44.7,19.0,51.8,17424,2672,2164,0.72,-1.16
20,5,15%,-4.3,-1.38,-66.94,15.3,44.4,7709,42,530,0.61,-2.18
20,5,5%,-4.56,-1.68,-69.12,13.6,44.0,7733,577,488,0.58,-2.32
20,20,0% (No SL),-4.65,-2.04,-69.73,8.8,45.8,31120,0,2186,0.57,-2.37
20,20,15%,-4.75,-2.27,-70.4,7.8,45.7,31133,267,2166,0.56,-2.43
20,20,5%,-4.9,-2.76,-71.46,4.8,45.2,31263,2692,2000,0.53,-2.51
