Date,Pair_Rank,Ticker_A,Ticker_B,Price_A,Price_B,Mean_A,Std_A,Mean_B,Std_B,Hedge_Ratio,ZScore,Position,Unrealized_PnL,Realized_PnL,Cumulative_PnL,Status
2019-08-02,1,AEP,XEL,69.8933,49.0996,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-05,1,AEP,XEL,69.3575,48.9436,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-06,1,AEP,XEL,70.24,49.6003,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-07,1,AEP,XEL,70.7128,49.8957,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-08,1,AEP,XEL,71.0621,50.5934,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-09,1,AEP,XEL,71.4273,50.7001,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-12,1,AEP,XEL,71.7925,50.5031,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-13,1,AEP,XEL,71.6496,50.38,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-14,1,AEP,XEL,70.2444,49.8875,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-15,1,AEP,XEL,71.7369,50.5031,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-16,1,AEP,XEL,71.6337,50.7248,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-19,1,AEP,XEL,71.8878,51.012,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-20,1,AEP,XEL,72.0624,51.2172,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-21,1,AEP,XEL,72.5229,51.7097,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-22,1,AEP,XEL,72.2212,51.9395,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-23,1,AEP,XEL,71.1177,51.2583,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-26,1,AEP,XEL,72.1101,52.1529,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-27,1,AEP,XEL,71.983,52.5223,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-28,1,AEP,XEL,71.1573,52.5141,62.0169,5.7188,43.1493,4.0656,0.9963,0.0,0.0,0.0,0.0,0.0,HOLD_CASH
2019-08-29,1,AEP,XEL,72.0227,53.023,62.0169,5.7188,43.1493,4.0656,0.9963,-2.1027,1.0,0.0,-0.0833,-0.0833,ENTER_LONG_A
2019-08-30,1,AEP,XEL,72.3641,52.7111,62.0169,5.7188,43.1493,4.0656,0.9963,-1.2454,1.0,0.4433,-0.0833,0.36,HOLDING
2019-09-03,1,AEP,XEL,73.6582,53.7863,62.0169,5.7188,43.1493,4.0656,0.9963,-1.2873,1.0,0.3221,-0.0833,0.2388,HOLDING
2019-09-04,1,AEP,XEL,73.8725,54.0243,62.0169,5.7188,43.1493,4.0656,0.9963,-1.2491,1.0,0.2542,-0.0833,0.1709,HOLDING
2019-09-05,1,AEP,XEL,72.6658,53.4744,62.0169,5.7188,43.1493,4.0656,0.9963,-1.4447,1.0,0.0059,-0.0833,-0.0774,HOLDING
2019-09-06,1,AEP,XEL,72.3165,53.1871,62.0169,5.7188,43.1493,4.0656,0.9963,-1.255,1.0,0.0363,-0.0833,-0.0471,HOLDING
2019-09-09,1,AEP,XEL,72.5467,52.0298,62.0169,5.7188,43.1493,4.0656,0.9963,0.2661,0.0,0.0,0.9248,0.9248,EXIT
2019-09-10,1,AEP,XEL,72.3165,51.7015,62.0169,5.7188,43.1493,4.0656,0.9963,0.5265,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-11,1,AEP,XEL,72.7928,51.9149,62.0169,5.7188,43.1493,4.0656,0.9963,0.7622,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-12,1,AEP,XEL,73.0548,52.1008,62.0169,5.7188,43.1493,4.0656,0.9963,0.7867,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-13,1,AEP,XEL,72.6737,51.7208,62.0169,5.7188,43.1493,4.0656,0.9963,1.011,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-16,1,AEP,XEL,72.8087,51.9025,62.0169,5.7188,43.1493,4.0656,0.9963,0.9447,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-17,1,AEP,XEL,73.6185,52.646,62.0169,5.7188,43.1493,4.0656,0.9963,0.7647,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-18,1,AEP,XEL,73.8487,52.8773,62.0169,5.7188,43.1493,4.0656,0.9963,0.7165,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-19,1,AEP,XEL,73.9757,53.0838,62.0169,5.7188,43.1493,4.0656,0.9963,0.5828,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-20,1,AEP,XEL,73.9757,53.3812,62.0169,5.7188,43.1493,4.0656,0.9963,0.149,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-23,1,AEP,XEL,74.1504,53.3647,62.0169,5.7188,43.1493,4.0656,0.9963,0.358,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-24,1,AEP,XEL,75.0951,54.0503,62.0169,5.7188,43.1493,4.0656,0.9963,0.3221,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-25,1,AEP,XEL,74.8093,53.7364,62.0169,5.7188,43.1493,4.0656,0.9963,0.4316,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-26,1,AEP,XEL,74.8569,54.166,62.0169,5.7188,43.1493,4.0656,0.9963,-0.2674,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-27,1,AEP,XEL,74.7855,53.9925,62.0169,5.7188,43.1493,4.0656,0.9963,-0.1614,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-09-30,1,AEP,XEL,74.3806,53.6042,62.0169,5.7188,43.1493,4.0656,0.9963,-0.032,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-01,1,AEP,XEL,74.0075,53.6538,62.0169,5.7188,43.1493,4.0656,0.9963,-0.6796,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-02,1,AEP,XEL,73.1421,52.3238,62.0169,5.7188,43.1493,4.0656,0.9963,0.62,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-03,1,AEP,XEL,73.4359,52.4312,62.0169,5.7188,43.1493,4.0656,0.9963,0.8004,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-04,1,AEP,XEL,74.3171,53.3895,62.0169,5.7188,43.1493,4.0656,0.9963,-0.2356,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-07,1,AEP,XEL,74.3965,53.1003,62.0169,5.7188,43.1493,4.0656,0.9963,0.9194,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-08,1,AEP,XEL,73.4835,52.5303,62.0169,5.7188,43.1493,4.0656,0.9963,0.6375,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-09,1,AEP,XEL,73.7375,52.8029,62.0169,5.7188,43.1493,4.0656,0.9963,0.3699,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-10,1,AEP,XEL,73.5232,52.8277,62.0169,5.7188,43.1493,4.0656,0.9963,-0.1977,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-11,1,AEP,XEL,73.3088,52.3156,62.0169,5.7188,43.1493,4.0656,0.9963,1.195,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-14,1,AEP,XEL,73.0628,52.2742,62.0169,5.7188,43.1493,4.0656,0.9963,0.7491,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-15,1,AEP,XEL,72.8325,52.1669,62.0169,5.7188,43.1493,4.0656,0.9963,0.5448,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-16,1,AEP,XEL,73.5153,52.4477,62.0169,5.7188,43.1493,4.0656,0.9963,1.2894,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-17,1,AEP,XEL,73.8328,52.5964,62.0169,5.7188,43.1493,4.0656,0.9963,1.4293,0.0,0.0,0.9248,0.9248,HOLD_CASH
2019-10-18,1,AEP,XEL,74.7379,52.8773,62.0169,5.7188,43.1493,4.0656,0.9963,2.2544,-1.0,0.0,0.8415,0.8415,ENTER_SHORT_A
2019-10-21,1,AEP,XEL,75.0078,53.1086,62.0169,5.7188,43.1493,4.0656,0.9963,1.8207,-1.0,0.0303,0.8415,0.8718,HOLDING
2019-10-22,1,AEP,XEL,74.7458,53.0425,62.0169,5.7188,43.1493,4.0656,0.9963,1.31,-1.0,0.1252,0.8415,0.9667,HOLDING
2019-10-23,1,AEP,XEL,74.976,53.2325,62.0169,5.7188,43.1493,4.0656,0.9963,1.1171,-1.0,0.1454,0.8415,0.9869,HOLDING
2019-10-24,1,AEP,XEL,75.9922,53.3151,62.0169,5.7188,43.1493,4.0656,0.9963,2.3949,-1.0,-0.3588,0.8415,0.4827,HOLDING
2019-10-25,1,AEP,XEL,74.9046,52.5716,62.0169,5.7188,43.1493,4.0656,0.9963,1.9937,-1.0,-0.3332,0.8415,0.5083,HOLDING
2019-10-28,1,AEP,XEL,74.1265,51.5803,62.0169,5.7188,43.1493,4.0656,0.9963,2.4122,-1.0,-0.6754,0.8415,0.1661,HOLDING
2019-10-29,1,AEP,XEL,73.9678,51.696,62.0169,5.7188,43.1493,4.0656,0.9963,1.7889,-1.0,-0.4957,0.8415,0.3458,HOLDING
2019-10-30,1,AEP,XEL,74.7061,52.3073,62.0169,5.7188,43.1493,4.0656,0.9963,1.4322,-1.0,-0.4294,0.8415,0.4121,HOLDING
2019-10-31,1,AEP,XEL,74.9363,52.4642,62.0169,5.7188,43.1493,4.0656,0.9963,1.2935,-1.0,-0.4352,0.8415,0.4063,HOLDING
2019-11-01,1,AEP,XEL,74.2774,52.1255,62.0169,5.7188,43.1493,4.0656,0.9963,0.9509,-1.0,-0.332,0.8415,0.5095,HOLDING
2019-11-04,1,AEP,XEL,73.6741,50.9277,62.0169,5.7188,43.1493,4.0656,0.9963,2.0217,-1.0,-0.9341,0.8415,-0.0926,HOLDING
2019-11-05,1,AEP,XEL,72.5626,50.0108,62.0169,5.7188,43.1493,4.0656,0.9963,1.9033,-1.0,-1.0312,0.8415,-0.1898,HOLDING
2019-11-06,1,AEP,XEL,73.023,50.6056,62.0169,5.7188,43.1493,4.0656,0.9963,1.3352,-1.0,-0.8224,0.8415,0.0191,HOLDING
2019-11-07,1,AEP,XEL,71.4711,49.8373,62.0169,5.7188,43.1493,4.0656,0.9963,0.7314,-1.0,-0.5562,0.8415,0.2853,HOLDING
2019-11-08,1,AEP,XEL,71.255,49.6308,62.0169,5.7188,43.1493,4.0656,0.9963,0.7357,-1.0,-0.5973,0.8415,0.2442,HOLDING
2019-11-11,1,AEP,XEL,71.0151,49.6225,62.0169,5.7188,43.1493,4.0656,0.9963,0.3858,0.0,0.0,0.2934,0.2934,EXIT
2019-11-12,1,AEP,XEL,70.7991,49.7051,62.0169,5.7188,43.1493,4.0656,0.9963,-0.1461,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-13,1,AEP,XEL,71.8871,50.9195,62.0169,5.7188,43.1493,4.0656,0.9963,-1.1221,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-14,1,AEP,XEL,71.6791,50.6386,62.0169,5.7188,43.1493,4.0656,0.9963,-0.946,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-15,1,AEP,XEL,71.6471,50.2834,62.0169,5.7188,43.1493,4.0656,0.9963,-0.2451,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-18,1,AEP,XEL,72.119,50.2917,62.0169,5.7188,43.1493,4.0656,0.9963,0.4513,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-19,1,AEP,XEL,72.535,50.6551,62.0169,5.7188,43.1493,4.0656,0.9963,0.2077,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-20,1,AEP,XEL,73.167,50.9608,62.0169,5.7188,43.1493,4.0656,0.9963,0.5195,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-21,1,AEP,XEL,72.855,50.969,62.0169,5.7188,43.1493,4.0656,0.9963,-0.1831,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-22,1,AEP,XEL,73.231,50.6056,62.0169,5.7188,43.1493,4.0656,0.9963,1.501,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-25,1,AEP,XEL,72.711,50.2256,62.0169,5.7188,43.1493,4.0656,0.9963,1.4062,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-26,1,AEP,XEL,73.199,50.5395,62.0169,5.7188,43.1493,4.0656,0.9963,1.3446,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-27,1,AEP,XEL,73.271,50.8534,62.0169,5.7188,43.1493,4.0656,0.9963,0.617,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-11-29,1,AEP,XEL,73.079,50.7956,62.0169,5.7188,43.1493,4.0656,0.9963,0.3735,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-12-02,1,AEP,XEL,72.2231,50.556,62.0169,5.7188,43.1493,4.0656,0.9963,-0.588,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-12-03,1,AEP,XEL,72.703,50.7708,62.0169,5.7188,43.1493,4.0656,0.9963,-0.1985,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-12-04,1,AEP,XEL,73.623,51.2251,62.0169,5.7188,43.1493,4.0656,0.9963,0.4263,0.0,0.0,0.2934,0.2934,HOLD_CASH
2019-12-05,1,AEP,XEL,73.967,51.3325,62.0169,5.7188,43.1493,4.0656,0.9963,0.8316,0.0,0.0,0.2934,0.2934,HOLD_CASH
