策略,最佳配置,Sharpe,淨利$,往返break-even%,成本餘裕(vs0.58%),門檻SR0,DSR,DSR顯著(>0.95),DSR@N15,DSR@N87,DSR@N1435,N試驗,T日
Grid (GICS-SSD-FW504),Top3/SL0%,0.634,10555.0,1.521,0.941,0.546,0.681,✘,0.414,0.681,0.025,72,6035
Grid (KM-SSD-FW504),Top1/SL15%,0.566,16764.0,1.691,1.111,0.546,0.542,✘,0.885,0.542,0.011,72,6035
Grid (GICS-SDP-FW504),Top3/SL0%,0.558,8702.0,1.406,0.826,0.546,0.524,✘,0.729,0.524,0.009,72,6035
Grid (GICS-DTW-FW504),Top5/SL0%,0.547,5918.0,1.217,0.637,0.546,0.503,✘,0.701,0.503,0.01,72,6035
Grid (NOGRP-DTW),Top1/SL0%,0.529,14537.0,1.271,0.691,0.546,0.464,✘,0.005,0.464,0.006,72,6287
Grid (HDB-SSD-FW504),Top3/SL15%,0.524,8003.0,1.367,0.787,0.546,0.453,✘,0.861,0.453,0.005,72,6035
Grid (KM-DTW-FW504),Top3/SL15%,0.497,5459.0,1.185,0.605,0.546,0.4,✘,0.852,0.4,0.005,72,6035
Grid (KM-SDP-FW504),Top1/SL15%,0.492,12024.0,1.543,0.963,0.546,0.393,✘,0.823,0.393,0.005,72,6035
Grid (HDB-DTW-FW504),Top5/SL15%,0.467,4354.0,1.1,0.52,0.546,0.344,✘,0.738,0.344,0.003,72,6035
Grid (NOGRP-DTW-FW504),Top1/SL0%,0.461,12089.0,1.574,0.994,0.546,0.337,✘,0.588,0.337,0.004,72,6035
Grid (NOGRP-SSD),Top3/SL0%,0.455,7220.0,1.079,0.499,0.546,0.315,✘,0.008,0.315,0.002,72,6287
Grid (AGG-DTW-FW504),Top5/SL15%,0.44,3704.0,1.036,0.456,0.546,0.295,✘,0.853,0.295,0.002,72,6035
Grid (NOGRP-SDP),Top3/SL0%,0.436,6366.0,1.035,0.455,0.546,0.287,✘,0.01,0.287,0.002,72,6287
Grid (NOGRP-DTW-TW63),Top1/SL0%,0.422,15980.0,1.155,0.575,0.546,0.238,✘,0.091,0.238,0.0,72,6287
Grid (AGG-SSD-FW504),Top3/SL15%,0.399,5030.0,1.127,0.547,0.546,0.223,✘,0.706,0.223,0.001,72,6035
Grid (NOGRP-DTW-KALINN),Top20/SL0%,0.394,168.0,2.719,2.139,0.546,0.154,✘,0.465,0.154,0.0,72,6287
Grid (GICS-SDP),Top3/SL0%,0.366,5015.0,1.0,0.42,0.546,0.173,✘,0.078,0.173,0.0,72,6287
Grid (AGG-SDP-FW504),Top10/SL15%,0.362,2275.0,0.899,0.319,0.546,0.178,✘,0.717,0.178,0.001,72,6035
Grid (HDB-SDP-FW504),Top10/SL15%,0.361,2425.0,0.915,0.335,0.546,0.178,✘,0.644,0.178,0.001,72,6035
Grid (NOGRP-DTW-KAL),Top3/SL15%,0.361,3670.0,0.939,0.359,0.546,0.177,✘,0.258,0.177,0.001,72,6287
