臂,格數,起,迄,交易日,Sharpe_252,Sharpe_504,ΔSharpe,年化_252%,年化_504%,Δ年化pp,CI下界,CI上界,BB p,504前半,504後半,252前半,252後半,BH p
NOGRP-SSD,15,2002-01-08,2025-12-31,6035,0.128,0.155,0.027,0.49,0.629,0.138,-1.491,1.847,0.8673,0.433,-0.579,0.345,-0.283,0.8673
NOGRP-DTW,15,2002-01-08,2025-12-31,6035,0.259,0.195,-0.065,1.028,0.77,-0.258,-2.019,1.452,0.7785,0.463,-0.335,0.449,-0.037,0.8341
NOGRP-SDP,15,2002-01-08,2025-12-31,6035,0.176,0.099,-0.077,0.637,0.377,-0.26,-1.764,1.219,0.7296,0.355,-0.571,0.412,-0.237,0.8341
GICS-SSD,15,2002-01-08,2025-12-31,6035,0.135,0.419,0.284,0.426,2.182,1.756,0.101,3.699,0.0527,0.852,-0.584,0.504,-0.605,0.2814
GICS-DTW,15,2002-01-08,2025-12-31,6035,0.171,0.344,0.173,0.577,1.609,1.032,-0.67,2.937,0.2571,0.759,-0.514,0.487,-0.389,0.4397
GICS-SDP,15,2002-01-08,2025-12-31,6035,0.201,0.364,0.163,0.692,1.733,1.041,-0.434,2.758,0.2,0.764,-0.547,0.535,-0.449,0.4397
HDB-SSD,15,2002-01-08,2025-12-31,6035,-0.097,0.341,0.438,-0.267,1.607,1.874,0.078,3.953,0.0578,0.662,-0.295,0.102,-0.476,0.2814
HDB-DTW,15,2002-01-08,2025-12-31,6035,0.093,0.297,0.204,0.299,1.306,1.007,-0.681,2.854,0.2638,0.612,-0.273,0.424,-0.432,0.4397
HDB-SDP,15,2002-01-08,2025-12-31,6035,0.044,0.269,0.225,0.137,1.171,1.034,-0.546,2.8,0.2327,0.577,-0.361,0.307,-0.432,0.4397
AGG-SSD,15,2002-01-08,2025-12-31,6035,0.02,0.266,0.246,0.051,1.137,1.086,-0.881,3.361,0.3304,0.68,-0.595,0.175,-0.263,0.4956
AGG-DTW,15,2002-01-08,2025-12-31,6035,0.176,0.263,0.087,0.512,0.952,0.44,-1.069,2.122,0.596,0.611,-0.373,0.449,-0.266,0.8127
AGG-SDP,15,2002-01-08,2025-12-31,6035,0.146,0.209,0.063,0.418,0.776,0.359,-1.288,2.142,0.6909,0.563,-0.495,0.402,-0.304,0.8341
KM-SSD,15,2002-01-08,2025-12-31,6035,-0.132,0.401,0.533,-0.278,1.711,1.989,0.061,4.281,0.0629,0.786,-0.309,-0.002,-0.346,0.2814
KM-DTW,15,2002-01-08,2025-12-31,6035,-0.061,0.361,0.422,-0.138,1.301,1.44,-0.11,3.283,0.0938,0.788,-0.384,0.055,-0.232,0.2814
KM-SDP,15,2002-01-08,2025-12-31,6035,-0.084,0.374,0.458,-0.188,1.47,1.658,-0.099,3.773,0.0931,0.758,-0.307,0.023,-0.262,0.2814
