配對來源,形成期,格數,起,交易日,年化Δpp,CI下界,CI上界,BB p,BH p
GICS-SSD,252,15,2001-01-02,6287,0.798,0.165,1.689,0.0403,0.0504
GICS-SSD,504,15,2002-01-08,6035,0.848,0.26,1.536,0.0115,0.0192
GICS-SDP,252,15,2001-01-02,6287,0.579,0.17,1.046,0.0111,0.0278
GICS-SDP,504,15,2002-01-08,6035,1.13,0.528,1.86,0.0025,0.0125
HDB-SDP,252,15,2001-01-02,6287,0.666,0.265,1.148,0.0042,0.021
HDB-SDP,504,15,2002-01-08,6035,0.601,0.009,1.237,0.0548,0.0548
AGG-SSD,252,15,2001-01-02,6287,0.239,-0.091,0.606,0.1802,0.1802
AGG-SSD,504,15,2002-01-08,6035,0.525,0.115,0.927,0.0114,0.0192
KM-SSD,252,15,2001-01-02,6287,0.31,0.027,0.585,0.0297,0.0495
KM-SSD,504,15,2002-01-08,6035,0.479,0.046,0.927,0.0344,0.043
