Window_Start,Window_End,Sector,Stock_A,Stock_B,p_value,alpha,beta,Std
2001-01-02,2001-07-02,Financials,ACGL,ERIE,1.3866203992192119e-10,0.22191575423247334,0.09323236552095629,0.04605152654577561
2001-01-02,2001-07-02,Financials,ACGL,RF,1.67384746084958e-10,0.6409181896473586,-0.08376761271245392,0.04588573530062333
2001-01-02,2001-07-02,Financials,ACGL,COF,1.794498758168054e-10,0.20396601421969668,0.0741699253946414,0.04413738769791552
2001-01-02,2001-07-02,Financials,ACGL,BAC,2.0571634898165507e-10,0.13825417225399034,0.13121548942903208,0.04472768840775825
2001-01-02,2001-07-02,Financials,ACGL,HIG,2.413338591493689e-10,0.29091747180805594,0.0518684263254572,0.044177202412786144
2001-01-02,2001-07-02,Financials,ACGL,SCHW,2.4929517877467326e-10,-0.040409389584074064,0.16368781513718067,0.040042483154854716
2001-01-02,2001-07-02,Financials,ACGL,FITB,2.5426306391528577e-10,0.36825680528707894,0.03342567909401177,0.046150881465946536
2001-01-02,2001-07-02,Financials,ACGL,SPGI,2.71158195810119e-10,0.40853399240273747,0.021587531987634183,0.04633869744824804
2001-01-02,2001-07-02,Financials,ACGL,GL,2.969090428341418e-10,0.48530588987387535,-0.0065278304741130805,0.04637423442704075
2001-01-02,2001-07-02,Financials,ACGL,KEY,2.9712500038684026e-10,0.4693036344484067,0.0006675992118242054,0.04638956912912521
2001-02-01,2001-08-01,Financials,ACGL,MET,4.732445921890394e-09,0.6200671076381198,-0.05667874933704226,0.022140469372080775
2001-02-01,2001-08-01,Financials,BK,CB,5.219826327010216e-07,1.9210570796792688,0.4882293090279819,0.04506202654979853
2001-02-01,2001-08-01,Financials,BRK-B,WFC,1.5477080116709132e-06,1.492670894991838,0.9007393324205756,0.045214672822583
2001-02-01,2001-08-01,Health Care,BAX,LH,2.107263389617893e-06,1.5917802603137203,0.3184325386995225,0.04216828750539168
2001-02-01,2001-08-01,Financials,ACGL,SCHW,4.5559683042355746e-06,0.11124857271740266,0.11629706321988267,0.027254901972007188
2001-02-01,2001-08-01,Financials,ACGL,TROW,5.903441024498624e-06,0.261945701803078,0.0926496738733068,0.029652203418574292
2001-02-01,2001-08-01,Health Care,AMGN,EW,9.237500067714383e-06,3.6459714249147175,0.3317864198554687,0.05959275659724682
2001-02-01,2001-08-01,Industrials,ITW,JBHT,9.636676025519544e-06,2.5562653014981516,0.24776000289549277,0.04163501252297982
2001-02-01,2001-08-01,Financials,BK,TRV,1.0547478462521802e-05,1.5668304717979709,0.575386414218323,0.04033834003718589
2001-02-01,2001-08-01,Financials,ACGL,BAC,1.1368834810272385e-05,0.23438196790003868,0.09484231486267607,0.029935890318650724
2001-03-05,2001-08-30,Consumer Staples,BF-B,PG,4.1354409447719364e-08,-0.6385572121311007,0.6916865131901251,0.07703176543927658
2001-03-05,2001-08-30,Financials,BK,CB,4.229998913332412e-08,1.9339659882330036,0.4839137046414213,0.038617559928371285
2001-03-05,2001-08-30,Consumer Staples,PG,SYY,4.328309680837294e-08,1.6204301721993164,0.48716020301046314,0.07799074800357571
2001-03-05,2001-08-30,Consumer Staples,PG,SJM,1.4540724684622053e-07,1.7849198612431878,0.45303044536043735,0.07208711671415993
2001-03-05,2001-08-30,Financials,ACGL,MET,2.4150617757934957e-07,0.5672285256031441,-0.0334501025227356,0.027673279065172432
2001-03-05,2001-08-30,Consumer Staples,KR,PG,1.258155266667609e-06,0.06412456828034319,0.6966144323639876,0.10972088488773067
2001-03-05,2001-08-30,Consumer Staples,PG,TSN,3.1807626694835344e-06,1.5831806715469372,0.6296544551732565,0.07352715920898992
2001-03-05,2001-08-30,Consumer Staples,PEP,PG,3.730708169106647e-06,1.6170202319578446,0.5235200371998112,0.10026715343051598
2001-03-05,2001-08-30,Health Care,AMGN,EW,5.2279699006232115e-06,3.6459847082855568,0.3436721262191738,0.05951558993980805
2001-03-05,2001-08-30,Financials,FISV,SPGI,6.0250091544966085e-06,-1.6596100676596293,1.2872228788987756,0.0953066107886915
2001-04-03,2001-10-05,Financials,ACGL,STT,4.004031965179845e-09,0.9308591075205321,-0.12585222381319272,0.02660118355360065
2001-04-03,2001-10-05,Financials,ACGL,JKHY,5.3425311225095016e-08,0.6877814175369016,-0.07044288221087752,0.02779382123418545
2001-04-03,2001-10-05,Financials,ACGL,NTRS,5.7341892850598423e-08,0.7695616364790163,-0.07552696146099488,0.02823816243330176
2001-04-03,2001-10-05,Financials,ACGL,TRV,8.64199117454274e-08,0.6472480403889613,-0.05090295039620975,0.02837379632584771
2001-04-03,2001-10-05,Financials,ACGL,SCHW,1.2363756114671353e-07,0.5773816393060555,-0.029568346530400667,0.028802477896468264
2001-04-03,2001-10-05,Financials,ACGL,BK,1.2381399011386372e-07,0.7664504035688933,-0.08277631877395028,0.028493371124871533
2001-04-03,2001-10-05,Financials,ACGL,WFC,1.2565103977843085e-07,0.6644882510758875,-0.07293222702900366,0.028846235226936568
2001-04-03,2001-10-05,Financials,ACGL,PGR,1.4902992498247306e-07,0.535528339339181,-0.038020702445790366,0.02904620555014579
2001-04-03,2001-10-05,Financials,ACGL,GL,1.5127914535680266e-07,0.5732703459316963,-0.03676405383562216,0.028845643154069
2001-04-03,2001-10-05,Financials,ACGL,BAC,1.524035143023346e-07,0.3233748321801354,0.06372189930284146,0.028943571450174125
2001-05-03,2001-11-05,Financials,ACGL,STT,5.217335746601919e-09,0.890623306471207,-0.11457388167578833,0.026266088279962897
2001-05-03,2001-11-05,Industrials,ODFL,GWW,2.386117382686101e-08,-1.3737332628233396,0.15840473130952365,0.04633020590997817
2001-05-03,2001-11-05,Industrials,ODFL,RSG,7.613421226861188e-08,-1.0842767926870513,0.10747704530276872,0.04973442291962415
2001-05-03,2001-11-05,Industrials,ODFL,SWK,7.718696281704051e-08,-1.1568598916422572,0.10258181967610805,0.04857377527941347
2001-05-03,2001-11-05,Industrials,ODFL,ROK,9.48770572238829e-08,-1.0839341353701861,0.09314153919298047,0.04955260115540377
2001-05-03,2001-11-05,Industrials,ODFL,PCAR,1.318060844203442e-07,-0.9743949682325008,0.10085822939998723,0.05008533952831163
