Period_Start,Period_End,Capital_Deployed,Period_PnL_USD,Period_PnL_Pct,Trading_Days
2019-01-02,2019-07-02,1666.67,-12.45,-0.7471,126
2019-02-01,2019-08-01,1666.67,-21.76,-1.3057,126
2019-03-05,2019-08-30,1666.67,-29.25,-1.755,126
2019-04-03,2019-10-01,1666.67,-18.71,-1.1228,126
2019-05-03,2019-10-30,1666.67,-41.25,-2.4752,126
2019-06-04,2019-11-29,1666.67,-13.82,-0.8292,126
2019-07-03,2019-12-31,1666.67,-4.91,-0.2945,126
2019-08-02,2020-01-31,1666.67,-7.27,-0.4365,126
2019-09-03,2020-03-03,1666.67,-13.81,-0.8284,126
2019-10-02,2020-04-01,1666.67,-12.13,-0.7278,126
2019-10-31,2020-05-01,1666.67,16.49,0.9895,126
2019-12-02,2020-06-02,1666.67,55.25,3.3151,126
2020-01-02,2020-07-01,1666.67,20.84,1.2503,126
2020-02-03,2020-07-31,1666.67,-14.15,-0.8487,126
2020-03-04,2020-08-31,1666.67,-42.3,-2.5381,126
2020-04-02,2020-09-30,1666.67,-9.01,-0.5405,126
2020-05-04,2020-10-29,1666.67,-0.6,-0.0362,126
2020-06-03,2020-11-30,1666.67,15.74,0.9441,126
2020-07-02,2020-12-30,1666.67,3.43,0.2059,126
2020-08-03,2021-02-01,1666.67,14.45,0.8673,126
2020-09-01,2021-03-03,1666.67,22.51,1.3505,126
2020-10-01,2021-04-01,1666.67,5.58,0.3349,126
2020-10-30,2021-05-03,1666.67,-22.68,-1.3606,126
2020-12-01,2021-06-02,1666.67,0.16,0.0098,126
2020-12-31,2021-07-01,1666.67,5.05,0.3031,126
2021-02-02,2021-08-02,1666.67,1.75,0.1051,126
2021-03-04,2021-08-31,1666.67,-55.51,-3.3305,126
2021-04-05,2021-09-30,1666.67,-37.13,-2.228,126
2021-05-04,2021-10-29,1666.67,-29.52,-1.7711,126
2021-06-03,2021-11-30,1666.67,-16.67,-0.9999,126
2021-07-02,2021-12-30,1666.67,-8.0,-0.48,126
2021-08-03,2022-01-31,1666.67,-32.55,-1.9529,126
2021-09-01,2022-03-02,1666.67,-34.25,-2.0549,126
2021-10-01,2022-03-31,1666.67,-23.82,-1.4291,126
2021-11-01,2022-05-02,1666.67,-22.9,-1.3742,126
2021-12-01,2022-06-01,1666.67,-5.6,-0.3362,126
2021-12-31,2022-07-01,1666.67,2.47,0.1484,126
2022-02-01,2022-08-02,1666.67,6.24,0.3745,126
2022-03-03,2022-08-31,1666.67,9.6,0.5758,126
2022-04-01,2022-09-30,1666.67,-9.23,-0.5538,126
2022-05-03,2022-10-31,1666.67,-2.05,-0.1229,126
2022-06-02,2022-11-30,1666.67,3.45,0.2072,126
2022-07-05,2022-12-30,1666.67,3.53,0.2119,126
