視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W00,2001-01-02,2001-07-02,1000.0,-57.2,-5.72,-11.2,-2.546,"Real Estate, Industrials",5,"AVB-BXP [Real Estate], CPT-REG [Real Estate], ARE-CPT [Real Estate], ARE-REG [Real Estate], ITW-UPS [Industrials]"
W01,2001-01-31,2001-07-31,1000.0,-76.95,-7.69,-14.91,-2.323,Real Estate,5,"PLD-REG [Real Estate], ARE-REG [Real Estate], AVB-BXP [Real Estate], ARE-EQR [Real Estate], FRT-IRM [Real Estate]"
W02,2001-03-01,2001-08-28,1000.0,-61.92,-6.19,-12.16,-2.552,"Real Estate, Industrials",5,"AVB-BXP [Real Estate], DOC-REG [Real Estate], ARE-O [Real Estate], CAT-MAS [Industrials], ITW-UPS [Industrials]"
W03,2001-03-29,2001-10-02,1000.0,4.4,0.44,0.86,0.108,"Real Estate, Industrials, Consumer Staples",5,"CPT-REG [Real Estate], DOC-REG [Real Estate], MAS-PCAR [Industrials], ARE-REG [Real Estate], CL-CPB [Consumer Staples]"
W04,2001-04-27,2001-10-30,1000.0,-67.43,-6.74,-12.8,-3.415,"Real Estate, Utilities, Industrials",5,"ARE-EQR [Real Estate], ARE-CPT [Real Estate], ARE-REG [Real Estate], DTE-SO [Utilities], CAT-CMI [Industrials]"
W05,2001-05-25,2001-11-28,1000.0,-70.43,-7.04,-13.29,-2.82,"Financials, Real Estate, Industrials",5,"IEX-UPS [Industrials], ARE-CPT [Real Estate], AIG-BK [Financials], CAT-CMI [Industrials], BK-HIG [Financials]"
W06,2001-06-25,2001-12-27,1000.0,-53.83,-5.38,-10.34,-0.921,"Financials, Real Estate",5,"CPT-REG [Real Estate], O-REG [Real Estate], CB-TRV [Financials], AIG-STT [Financials], BRK-B-WFC [Financials]"
W07,2001-07-24,2002-01-28,1000.0,30.31,3.03,5.97,0.992,"Real Estate, Utilities, Industrials",5,"KIM-PLD [Real Estate], ARE-EQR [Real Estate], CMS-LNT [Utilities], JCI-UPS [Industrials], AMT-SBAC [Real Estate]"
W08,2001-08-21,2002-02-26,1000.0,-58.75,-5.88,-11.04,-2.171,"Health Care, Real Estate, Utilities, Financials, Industrials",5,"ARE-EQR [Real Estate], AIG-STT [Financials], MMM-PH [Industrials], D-NI [Utilities], CAH-WST [Health Care]"
W09,2001-09-25,2002-03-26,1000.0,-51.67,-5.17,-10.09,-2.071,"Financials, Real Estate, Health Care",5,"FRT-MAA [Real Estate], BEN-SPGI [Financials], ARE-EQR [Real Estate], CAH-JNJ [Health Care], ARE-KIM [Real Estate]"
W10,2001-10-23,2002-04-24,1000.0,-31.38,-3.14,-6.16,-1.193,"Real Estate, Health Care, Consumer Staples",5,"FRT-MAA [Real Estate], ARE-KIM [Real Estate], ARE-REG [Real Estate], BAX-CAH [Health Care], PEP-PG [Consumer Staples]"
W11,2001-11-20,2002-05-22,1000.0,108.6,10.86,22.83,2.775,"Financials, Real Estate, Energy, Consumer Staples",5,"CB-TRV [Financials], FRT-KIM [Real Estate], BF-B-KR [Consumer Staples], APA-EOG [Energy], AXP-NTRS [Financials]"
W12,2001-12-19,2002-06-20,1000.0,126.28,12.63,26.77,2.534,"Financials, Real Estate, Consumer Discretionary, Consumer Staples",5,"ARE-REG [Real Estate], ARE-KIM [Real Estate], BF-B-KR [Consumer Staples], BRK-B-CINF [Financials], HD-MGM [Consumer Discretionary]"
W13,2002-01-18,2002-07-19,1000.0,-45.08,-4.51,-8.84,-1.828,"Utilities, Consumer Discretionary, Financials, Industrials, Consumer Staples",5,"MTB-RF [Financials], AEP-DUK [Utilities], CHRW-HUBB [Industrials], HD-MGM [Consumer Discretionary], PEP-PG [Consumer Staples]"
W14,2002-02-19,2002-08-16,1000.0,-15.39,-1.54,-3.13,-0.227,"Financials, Real Estate, Industrials, Consumer Staples",5,"IRM-PLD [Real Estate], CHRW-HUBB [Industrials], IVZ-MS [Financials], LUV-PAYX [Industrials], CLX-PEP [Consumer Staples]"
W15,2002-03-19,2002-09-16,1000.0,-45.49,-4.55,-8.96,-2.568,"Financials, Industrials",5,"DOV-TT [Industrials], ETN-UPS [Industrials], FAST-ITW [Industrials], BK-IVZ [Financials], MS-NTRS [Financials]"
W16,2002-04-17,2002-10-14,1000.0,-62.3,-6.23,-12.23,-2.353,"Real Estate, Industrials",5,"CPT-ESS [Real Estate], AVB-CPT [Real Estate], FRT-WELL [Real Estate], EQR-ESS [Real Estate], LUV-UNP [Industrials]"
W17,2002-05-15,2002-11-11,1000.0,-27.4,-2.74,-5.48,-0.69,"Financials, Real Estate, Industrials",5,"CAT-UPS [Industrials], BK-IVZ [Financials], NSC-PH [Industrials], EQR-ESS [Real Estate], ARE-UDR [Real Estate]"
W18,2002-06-13,2002-12-10,1000.0,112.79,11.28,24.2,1.513,"Real Estate, Industrials",5,"EQR-ESS [Real Estate], ARE-O [Real Estate], FRT-WELL [Real Estate], PLD-SPG [Real Estate], CMI-URI [Industrials]"
W19,2002-07-12,2003-01-09,1000.0,-45.17,-4.52,-8.9,-1.388,"Real Estate, Financials, Utilities",5,"ES-PEG [Utilities], PLD-SPG [Real Estate], ARE-O [Real Estate], HIG-SPGI [Financials], ATO-DTE [Utilities]"
W20,2002-08-09,2003-02-07,1000.0,-68.6,-6.86,-13.28,-3.108,"Financials, Real Estate, Utilities",5,"REG-WELL [Real Estate], FITB-TFC [Financials], AEP-PNW [Utilities], ES-PEG [Utilities], FRT-O [Real Estate]"
W21,2002-09-09,2003-03-10,1000.0,-48.24,-4.82,-9.44,-2.455,"Financials, Real Estate",5,"HBAN-KEY [Financials], HBAN-WFC [Financials], FRT-O [Real Estate], FRT-WELL [Real Estate], MS-NTRS [Financials]"
W22,2002-10-07,2003-04-07,1000.0,-70.45,-7.05,-13.63,-1.692,"Financials, Health Care, Industrials",5,"KEY-MTB [Financials], ETN-NDSN [Industrials], BLK-TFC [Financials], AMGN-LLY [Health Care], GWW-ITW [Industrials]"
W23,2002-11-04,2003-05-06,1000.0,-55.81,-5.58,-10.82,-3.294,"Financials, Real Estate",5,"RF-WFC [Financials], FRT-O [Real Estate], KEY-MTB [Financials], HBAN-WFC [Financials], BAC-PGR [Financials]"
W24,2002-12-03,2003-06-04,1000.0,-41.39,-4.14,-8.09,-2.697,"Financials, Real Estate, Materials",5,"KEY-MTB [Financials], APD-PKG [Materials], BXP-MAA [Real Estate], BAC-MTB [Financials], DOC-REG [Real Estate]"
W25,2003-01-02,2003-07-02,1000.0,-51.03,-5.1,-10.02,-3.48,"Financials, Real Estate, Materials",5,"HBAN-MTB [Financials], BXP-MAA [Real Estate], APD-PKG [Materials], AIG-GS [Financials], AJG-MET [Financials]"
W26,2003-01-31,2003-07-31,1000.0,-23.2,-2.32,-4.62,-1.238,"Real Estate, Financials, Utilities, Industrials",5,"MTB-RF [Financials], EMR-PH [Industrials], GWW-PH [Industrials], DTE-ETR [Utilities], ARE-BXP [Real Estate]"
W27,2003-03-03,2003-08-28,1000.0,-12.41,-1.24,-2.53,-0.717,"Financials, Real Estate, Industrials",5,"MTB-RF [Financials], CPT-EQR [Real Estate], HBAN-MTB [Financials], BXP-MAA [Real Estate], EMR-PH [Industrials]"
W28,2003-03-31,2003-09-26,1000.0,-16.75,-1.67,-3.39,-0.805,"Financials, Real Estate, Industrials",5,"CPT-EQR [Real Estate], MTB-RF [Financials], HBAN-MTB [Financials], EMR-PH [Industrials], GWW-PH [Industrials]"
W29,2003-04-29,2003-10-24,1000.0,-28.9,-2.89,-5.84,-1.721,"Financials, Utilities, Industrials",5,"HBAN-MTB [Financials], MTB-RF [Financials], EXC-NEE [Utilities], GWW-PH [Industrials], GS-MRSH [Financials]"
W30,2003-05-28,2003-11-21,1000.0,-31.6,-3.16,-6.41,-1.426,"Real Estate, Financials, Utilities, Industrials",5,"EXC-NEE [Utilities], CPT-EQR [Real Estate], GWW-HUBB [Industrials], BAC-GL [Financials], PFG-RF [Financials]"
W31,2003-06-25,2003-12-22,1000.0,-15.18,-1.52,-3.06,-0.636,"Real Estate, Utilities, Energy",5,"CPT-EQR [Real Estate], EXC-NEE [Utilities], ARE-CPT [Real Estate], FRT-KIM [Real Estate], COP-XOM [Energy]"
W32,2003-07-24,2004-01-22,1000.0,-14.99,-1.5,-2.98,-0.963,"Financials, Real Estate, Utilities",5,"HBAN-MTB [Financials], CPT-EQR [Real Estate], ESS-UDR [Real Estate], EXC-NEE [Utilities], FRT-KIM [Real Estate]"
W33,2003-08-21,2004-02-20,1000.0,-3.82,-0.38,-0.76,-0.155,"Financials, Real Estate",5,"HBAN-MTB [Financials], ESS-UDR [Real Estate], CINF-RF [Financials], CPT-EQR [Real Estate], O-REG [Real Estate]"
W34,2003-09-19,2004-03-19,1000.0,-25.08,-2.51,-4.97,-1.638,"Financials, Real Estate",5,"FRT-KIM [Real Estate], O-REG [Real Estate], BRK-B-SPGI [Financials], REG-UDR [Real Estate], ESS-UDR [Real Estate]"
W35,2003-10-17,2004-04-19,1000.0,-51.05,-5.1,-9.82,-2.789,"Financials, Health Care, Materials, Energy",5,"HBAN-MTB [Financials], IP-PPG [Materials], BRK-B-SPGI [Financials], COP-OXY [Energy], ABT-DGX [Health Care]"
W36,2003-11-14,2004-05-17,1000.0,14.68,1.47,2.92,0.496,"Financials, Utilities, Materials",5,"KEY-RF [Financials], ATO-NEE [Utilities], BRK-B-SPGI [Financials], HBAN-MTB [Financials], APD-PKG [Materials]"
W37,2003-12-15,2004-06-16,1000.0,-19.11,-1.91,-3.76,-0.804,"Financials, Real Estate, Utilities",5,"HBAN-MTB [Financials], FRT-SPG [Real Estate], BRK-B-MET [Financials], NEE-SO [Utilities], KEY-RF [Financials]"
W38,2004-01-14,2004-07-15,1000.0,14.19,1.42,2.85,0.562,"Financials, Industrials",5,"HBAN-SPGI [Financials], EMR-ITW [Industrials], HBAN-MTB [Financials], BRK-B-HBAN [Financials], BRK-B-SPGI [Financials]"
W39,2004-02-12,2004-08-12,1000.0,51.59,5.16,10.61,1.666,"Real Estate, Financials, Utilities, Materials",5,"D-NEE [Utilities], EQR-ESS [Real Estate], APD-PKG [Materials], ATO-NEE [Utilities], BRK-B-MET [Financials]"
W40,2004-03-12,2004-09-10,1000.0,19.32,1.93,3.91,0.779,"Real Estate, Utilities, Financials, Industrials, Consumer Staples",5,"EQR-ESS [Real Estate], HSY-PEP [Consumer Staples], D-NEE [Utilities], AJG-MET [Financials], CTAS-ITW [Industrials]"
W41,2004-04-12,2004-10-08,1000.0,-36.07,-3.61,-7.22,-2.158,"Real Estate, Financials, Utilities",5,"D-NEE [Utilities], EQR-ESS [Real Estate], ED-NEE [Utilities], D-ED [Utilities], ERIE-PFG [Financials]"
W42,2004-05-10,2004-11-05,1000.0,15.78,1.58,3.24,0.598,"Real Estate, Financials, Utilities, Consumer Staples",5,"ED-NEE [Utilities], CLX-PG [Consumer Staples], EQR-ESS [Real Estate], ERIE-WRB [Financials], BXP-REG [Real Estate]"
W43,2004-06-08,2004-12-06,1000.0,50.2,5.02,10.38,1.893,"Financials, Utilities, Energy, Consumer Staples",5,"NEE-SO [Utilities], CLX-PG [Consumer Staples], C-EG [Financials], HAL-SLB [Energy], EG-PNC [Financials]"
W44,2004-07-08,2005-01-04,1000.0,0.16,0.02,0.03,0.005,"Real Estate, Financials, Utilities, Consumer Staples",5,"NEE-SO [Utilities], KIM-REG [Real Estate], CLX-PG [Consumer Staples], C-EG [Financials], ATO-PPL [Utilities]"
