視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W00,2001-01-02,2001-07-02,1000.0,-45.78,-4.58,-9.02,-2.368,Real Estate,5,"AVB-BXP [Real Estate], CPT-REG [Real Estate], ARE-CPT [Real Estate], ARE-VNO [Real Estate], AIV-REG [Real Estate]"
W01,2001-01-31,2001-07-31,1000.0,-64.98,-6.5,-12.67,-2.56,Real Estate,5,"PLD-REG [Real Estate], ARE-REG [Real Estate], AIV-REG [Real Estate], AVB-BXP [Real Estate], AIV-PLD [Real Estate]"
W02,2001-03-01,2001-08-28,1000.0,-66.65,-6.67,-13.05,-4.854,"Communication Services, Real Estate, Industrials",5,"AVB-BXP [Real Estate], DOC-REG [Real Estate], ARE-O [Real Estate], OMC-TGNA [Communication Services], CAT-MAS [Industrials]"
W03,2001-03-29,2001-10-02,1000.0,2.68,0.27,0.52,0.064,"Communication Services, Real Estate, Industrials",5,"FRT-MAC [Real Estate], OMC-TGNA [Communication Services], CPT-REG [Real Estate], DOC-REG [Real Estate], MAS-PCAR [Industrials]"
W04,2001-04-27,2001-10-30,1000.0,-75.94,-7.59,-14.36,-3.434,"Communication Services, Utilities, Real Estate",5,"ARE-EQR [Real Estate], ARE-CPT [Real Estate], ARE-REG [Real Estate], OMC-TGNA [Communication Services], DTE-SO [Utilities]"
W05,2001-05-25,2001-11-28,1000.0,-69.57,-6.96,-13.13,-3.543,"Financials, Real Estate, Industrials",5,"IEX-UPS [Industrials], ARE-CPT [Real Estate], AIG-BK [Financials], CAT-CMI [Industrials], CMI-ITT [Industrials]"
W06,2001-06-25,2001-12-27,1000.0,-47.95,-4.8,-9.24,-1.03,"Financials, Real Estate",5,"CPT-REG [Real Estate], SLG-VNO [Real Estate], O-REG [Real Estate], KIM-SLG [Real Estate], CB-TRV [Financials]"
W07,2001-07-24,2002-01-28,1000.0,-61.71,-6.17,-11.63,-3.688,"Utilities, Real Estate",5,"FRT-SLG [Real Estate], KIM-PLD [Real Estate], ARE-EQR [Real Estate], PLD-SLG [Real Estate], CMS-LNT [Utilities]"
W08,2001-08-21,2002-02-26,1000.0,-57.55,-5.76,-10.82,-1.997,"Financials, Utilities, Real Estate, Industrials",5,"ARE-EQR [Real Estate], AIG-STT [Financials], MMM-PH [Industrials], SLG-VNO [Real Estate], D-NI [Utilities]"
W09,2001-09-25,2002-03-26,1000.0,-41.44,-4.14,-8.14,-1.734,"Financials, Health Care, Real Estate",5,"FRT-MAA [Real Estate], SLG-VNO [Real Estate], BEN-SPGI [Financials], ARE-EQR [Real Estate], CAH-JNJ [Health Care]"
W10,2001-10-23,2002-04-24,1000.0,12.59,1.26,2.53,0.367,"Health Care, Real Estate",5,"FRT-MAA [Real Estate], ARE-KIM [Real Estate], ARE-REG [Real Estate], KIM-SLG [Real Estate], BAX-CAH [Health Care]"
W11,2001-11-20,2002-05-22,1000.0,108.6,10.86,22.83,2.775,"Financials, Consumer Staples, Energy, Real Estate",5,"CB-TRV [Financials], FRT-KIM [Real Estate], BF-B-KR [Consumer Staples], APA-EOG [Energy], AXP-NTRS [Financials]"
W12,2001-12-19,2002-06-20,1000.0,126.28,12.63,26.77,2.534,"Consumer Staples, Consumer Discretionary, Real Estate, Financials",5,"ARE-REG [Real Estate], ARE-KIM [Real Estate], BF-B-KR [Consumer Staples], BRK-B-CINF [Financials], HD-MGM [Consumer Discretionary]"
W13,2002-01-18,2002-07-19,1000.0,-44.55,-4.46,-8.73,-1.835,"Industrials, Financials, Utilities, Consumer Discretionary, Real Estate",5,"MTB-RF [Financials], FRT-VNO [Real Estate], AEP-DUK [Utilities], CHRW-HUBB [Industrials], HD-MGM [Consumer Discretionary]"
W14,2002-02-19,2002-08-16,1000.0,-13.01,-1.3,-2.65,-0.193,"Financials, Real Estate, Industrials",5,"IRM-VNO [Real Estate], IRM-PLD [Real Estate], CHRW-HUBB [Industrials], IVZ-MS [Financials], LUV-PAYX [Industrials]"
W15,2002-03-19,2002-09-16,1000.0,-45.49,-4.55,-8.96,-2.568,"Financials, Industrials",5,"DOV-TT [Industrials], ETN-UPS [Industrials], FAST-ITW [Industrials], BK-IVZ [Financials], MS-NTRS [Financials]"
W16,2002-04-17,2002-10-14,1000.0,-23.88,-2.39,-4.78,-0.706,Real Estate,5,"SLG-UDR [Real Estate], CPT-ESS [Real Estate], AVB-CPT [Real Estate], FRT-WELL [Real Estate], EQR-ESS [Real Estate]"
W17,2002-05-15,2002-11-11,1000.0,-40.05,-4.01,-7.95,-1.383,"Financials, Real Estate, Industrials",5,"REG-VNO [Real Estate], SLG-UDR [Real Estate], AIV-ESS [Real Estate], CAT-UPS [Industrials], BK-IVZ [Financials]"
