視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W00,2020-01-02,2020-07-01,1000.0,-111.64,-11.16,-21.24,-1.045,Information Technology,1,CRM-HPE [Information Technology]
W01,2020-01-31,2020-07-30,1000.0,8.25,0.82,1.67,0.087,Information Technology,1,ROP-NOW [Information Technology]
W02,2020-03-02,2020-08-27,1000.0,-43.55,-4.35,-8.73,-0.945,Information Technology,1,AMAT-TDY [Information Technology]
W03,2020-03-30,2020-09-25,1000.0,509.87,50.99,131.67,2.407,Information Technology,1,CDNS-CIEN [Information Technology]
W04,2020-04-28,2020-10-23,1000.0,-135.3,-13.53,-25.78,-1.174,Information Technology,1,QCOM-ZBRA [Information Technology]
W05,2020-05-27,2020-11-20,1000.0,0.0,0.0,0.0,0.0,Information Technology,1,NTAP-IT [Information Technology]
W06,2020-06-24,2020-12-21,1000.0,-61.01,-6.1,-11.98,-1.837,Information Technology,1,ADI-ACN [Information Technology]
W07,2020-07-23,2021-01-21,1000.0,-50.47,-5.05,-9.87,-2.821,Information Technology,1,INTU-ROP [Information Technology]
W08,2020-08-20,2021-02-19,1000.0,-58.63,-5.86,-11.35,-3.131,Information Technology,1,INTU-ROP [Information Technology]
W09,2020-09-18,2021-03-19,1000.0,-55.56,-5.56,-10.83,-1.556,Information Technology,1,FFIV-KEYS [Information Technology]
W10,2020-10-16,2021-04-19,1000.0,-67.38,-6.74,-12.86,-2.176,Information Technology,1,KLAC-ROP [Information Technology]
W11,2020-11-13,2021-05-17,1000.0,-59.04,-5.9,-11.31,-1.694,Information Technology,1,MCHP-PTC [Information Technology]
W12,2020-12-14,2021-06-15,1000.0,-49.59,-4.96,-9.65,-2.2,Information Technology,1,AVGO-TXN [Information Technology]
W13,2021-01-13,2021-07-14,1000.0,-28.84,-2.88,-5.7,-0.9,Information Technology,1,KLAC-ZBRA [Information Technology]
W14,2021-02-11,2021-08-11,1000.0,-67.41,-6.74,-13.13,-1.916,Information Technology,1,INTU-TXN [Information Technology]
W15,2021-03-12,2021-09-09,1000.0,-108.46,-10.85,-20.67,-2.08,Information Technology,1,IBM-GEN [Information Technology]
W16,2021-04-12,2021-10-07,1000.0,-119.14,-11.91,-22.9,-2.43,Information Technology,1,WDC-HPE [Information Technology]
W17,2021-05-10,2021-11-04,1000.0,-84.45,-8.45,-16.55,-0.663,Information Technology,1,INTU-MSI [Information Technology]
W18,2021-06-08,2021-12-03,1000.0,0.0,0.0,0.0,0.0,Information Technology,1,WDC-HPE [Information Technology]
W19,2021-07-07,2022-01-03,1000.0,61.98,6.2,12.97,0.66,Information Technology,1,AKAM-VRSN [Information Technology]
W20,2021-08-04,2022-02-01,1000.0,0.0,0.0,0.0,0.0,Information Technology,1,AKAM-VRSN [Information Technology]
W21,2021-09-01,2022-03-02,1000.0,0.0,0.0,0.0,0.0,Information Technology,1,AKAM-VRSN [Information Technology]
W22,2021-09-30,2022-03-30,1000.0,0.0,0.0,0.0,0.0,Information Technology,1,AKAM-VRSN [Information Technology]
W23,2021-10-28,2022-04-28,1000.0,16.47,1.65,3.33,0.911,Information Technology,1,AKAM-VRSN [Information Technology]
W24,2021-11-26,2022-05-26,1000.0,-102.12,-10.21,-19.52,-2.429,Information Technology,1,NXPI-CSCO [Information Technology]
W25,2021-12-27,2022-06-27,1000.0,103.45,10.35,21.83,0.418,Information Technology,1,ORCL-JBL [Information Technology]
W26,2022-01-25,2022-07-26,1000.0,-69.76,-6.98,-13.5,-1.877,Information Technology,1,TXN-TDY [Information Technology]
W27,2022-02-23,2022-08-23,1000.0,-56.21,-5.62,-11.01,-1.948,Information Technology,1,SNPS-KEYS [Information Technology]
W28,2022-03-23,2022-09-21,1000.0,-45.58,-4.56,-8.93,-1.729,Information Technology,1,TDY-ROP [Information Technology]
W29,2022-04-21,2022-10-19,1000.0,-61.83,-6.18,-12.08,-1.191,Information Technology,1,INTC-PTC [Information Technology]
W30,2022-05-19,2022-11-16,1000.0,-50.95,-5.09,-10.01,-1.498,Information Technology,1,MSI-ACN [Information Technology]
W31,2022-06-17,2022-12-15,1000.0,-70.89,-7.09,-13.78,-1.101,Information Technology,1,CDW-TEL [Information Technology]
