年度,期初資金(USD),年度總損益(USD),期末資金(USD),年度報酬率(%),累積總報酬率(%),年度夏普率,最大回撤(MDD %),年度熱門產業 (Top 3),年度配對熱度 (Top 3)
2000,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,無,無
2001,7000.0,-433.63,6566.37,-6.19,-6.19,-2.714,-6.51,"Real Estate (34次), Financials (10次), Industrials (9次)","ARE-REG (6次), ARE-EQR (5次), AVB-BXP (3次)"
2002,6566.37,-86.41,6479.97,-1.32,-7.43,-0.421,-3.77,"Real Estate (33次), Financials (23次), Industrials (14次)","ARE-EQR (3次), ARE-KIM (3次), FRT-WELL (3次)"
2003,6479.97,-419.5,6060.46,-6.47,-13.42,-3.181,-6.69,"Financials (38次), Real Estate (29次), Utilities (11次)","HBAN-MTB (9次), CPT-EQR (6次), MTB-RF (4次)"
2004,6060.46,28.67,6089.13,0.47,-13.01,0.182,-2.09,"Financials (27次), Real Estate (26次), Utilities (26次)","HBAN-MTB (6次), NEE-SO (6次), BRK-B-SPGI (4次)"
2005,6089.13,-246.14,5842.99,-4.04,-16.53,-1.521,-4.66,"Utilities (30次), Real Estate (24次), Financials (18次)","NEE-SO (4次), ATO-NI (4次), FRT-SPG (4次)"
2006,5842.99,-121.99,5721.0,-2.09,-18.27,-1.115,-3.84,"Financials (26次), Real Estate (24次), Communication Services (17次)","GOOG-GOOGL (17次), EQR-MAA (5次), ERIE-KEY (3次)"
2007,5721.0,-266.67,5454.33,-4.66,-22.08,-1.896,-5.93,"Financials (31次), Communication Services (19次), Utilities (13次)","GOOG-GOOGL (18次), GIS-KMB (4次), ALL-MET (4次)"
2008,5454.33,-628.91,4825.42,-11.53,-31.07,-3.46,-10.98,"Utilities (37次), Communication Services (20次), Financials (11次)","GOOG-GOOGL (19次), EVRG-XEL (5次), CMS-CNP (4次)"
2009,4825.42,-349.69,4475.73,-7.25,-36.06,-2.629,-7.95,"Utilities (33次), Communication Services (19次), Industrials (17次)","GOOG-GOOGL (19次), AVB-CPT (6次), EVRG-XEL (4次)"
2010,4475.73,-106.64,4369.09,-2.38,-37.58,-0.962,-2.96,"Utilities (37次), Communication Services (19次), Industrials (11次)","GOOG-GOOGL (19次), ECL-IFF (3次), ES-WEC (3次)"
2011,4369.09,-276.73,4092.36,-6.33,-41.54,-2.644,-7.05,"Utilities (49次), Communication Services (19次), Real Estate (10次)","GOOG-GOOGL (19次), SO-WEC (5次), DUK-ED (4次)"
2012,4092.36,-240.85,3851.52,-5.89,-44.98,-2.846,-5.98,"Utilities (42次), Communication Services (18次), Real Estate (17次)","GOOG-GOOGL (18次), AVB-ESS (6次), WEC-XEL (4次)"
2013,3851.52,-228.28,3623.24,-5.93,-48.24,-2.064,-7.29,"Utilities (33次), Communication Services (19次), Real Estate (17次)","GOOG-GOOGL (19次), AVB-ESS (5次), DTE-ES (4次)"
2014,3623.24,-336.27,3286.97,-9.28,-53.04,-2.454,-9.31,"Utilities (42次), Financials (16次), Communication Services (9次)","GOOG-GOOGL (9次), CMS-XEL (8次), DTE-WEC (5次)"
2015,3286.97,-100.71,3186.26,-3.06,-54.48,-0.736,-5.3,"Utilities (42次), Financials (28次), Real Estate (10次)","CMS-XEL (6次), ATO-NEE (5次), ES-WEC (4次)"
2016,3186.26,-264.94,2921.32,-8.31,-58.27,-2.254,-9.83,"Utilities (43次), Financials (28次), Health Care (7次)","CMS-XEL (12次), ES-PNW (5次), JPM-USB (5次)"
2017,2921.32,-255.41,2665.91,-8.74,-61.92,-2.852,-9.5,"Utilities (58次), Financials (14次), Industrials (5次)","CMS-XEL (9次), DUK-ED (7次), NWS-NWSA (4次)"
2018,2665.91,-242.19,2423.72,-9.08,-65.38,-2.128,-10.9,"Utilities (53次), Financials (15次), Communication Services (9次)","NWS-NWSA (9次), AEP-DUK (5次), AEP-DTE (5次)"
2019,2423.72,-283.33,2140.39,-11.69,-69.42,-2.64,-11.54,"Utilities (54次), Financials (15次), Real Estate (10次)","AEP-XEL (7次), CMS-FE (5次), EVRG-EXC (4次)"
2020,2140.39,-449.66,1690.73,-21.01,-75.85,-2.5,-19.64,"Financials (34次), Utilities (33次), Real Estate (10次)","NWS-NWSA (8次), RF-TFC (8次), AVB-CPT (4次)"
2021,1690.73,-97.94,1592.79,-5.79,-77.25,-0.684,-8.7,"Utilities (36次), Financials (26次), Industrials (14次)","D-WEC (7次), RF-TFC (5次), IEX-UNP (4次)"
2022,1592.79,-475.74,1117.04,-29.87,-84.04,-4.306,-27.2,"Utilities (44次), Financials (15次), Industrials (13次)","D-WEC (8次), AEE-ETR (5次), GOOG-GOOGL (5次)"
2023,1117.04,-257.7,859.34,-23.07,-87.72,-2.377,-20.99,"Utilities (29次), Financials (17次), Communication Services (17次)","GOOG-GOOGL (8次), NWS-NWSA (7次), PAYX-UNP (5次)"
2024,859.34,-239.35,620.0,-27.85,-91.14,-1.329,-33.66,"Utilities (39次), Industrials (18次), Financials (14次)","CMS-FE (11次), ITW-SNA (5次), AVB-INVH (4次)"
2025,620.0,8.87,628.87,1.43,-91.02,0.071,-14.94,"Utilities (19次), Real Estate (11次), Financials (11次)","CPT-EQR (4次), PSX-SLB (4次), CMS-FE (3次)"
