年度,期初資金(USD),年度總損益(USD),期末資金(USD),年度報酬率(%),累積總報酬率(%),年度夏普率,最大回撤(MDD %),年度熱門產業 (Top 3),年度配對熱度 (Top 3)
2000,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,無,無
2001,7000.0,-429.06,6570.94,-6.13,-6.13,-3.179,-6.3,"Real Estate (40次), Financials (7次), Industrials (6次)","ARE-REG (4次), ARE-EQR (4次), AVB-BXP (3次)"
2002,6570.94,-211.32,6359.62,-3.22,-9.15,-1.152,-5.17,"Real Estate (42次), Financials (22次), Industrials (10次)","ARE-EQR (3次), SLG-UDR (3次), REG-VNO (3次)"
2003,6359.62,-321.9,6037.72,-5.06,-13.75,-2.379,-5.64,"Real Estate (34次), Financials (33次), Utilities (10次)","HBAN-MTB (9次), CPT-EQR (6次), MTB-RF (4次)"
2004,6037.72,45.4,6083.12,0.75,-13.1,0.287,-1.78,"Real Estate (28次), Utilities (26次), Financials (25次)","HBAN-MTB (6次), NEE-SO (6次), BRK-B-SPGI (4次)"
2005,6083.12,-239.11,5844.02,-3.93,-16.51,-1.532,-4.38,"Utilities (30次), Real Estate (28次), Financials (16次)","NEE-SO (4次), ATO-NI (4次), FRT-SPG (4次)"
2006,5844.02,-147.59,5696.43,-2.53,-18.62,-1.405,-4.74,"Real Estate (26次), Financials (21次), Communication Services (21次)","GOOG-GOOGL (17次), EQR-MAA (5次), ERIE-KEY (3次)"
2007,5696.43,-167.65,5528.78,-2.94,-21.02,-1.078,-5.25,"Financials (29次), Communication Services (20次), Utilities (13次)","GOOG-GOOGL (18次), GIS-KMB (4次), ALL-MET (4次)"
2008,5528.78,-643.83,4884.95,-11.64,-30.22,-3.515,-11.24,"Utilities (36次), Communication Services (20次), Real Estate (10次)","GOOG-GOOGL (19次), EVRG-XEL (5次), CMS-CNP (4次)"
2009,4884.95,-397.35,4487.6,-8.13,-35.89,-2.669,-9.6,"Utilities (31次), Communication Services (19次), Industrials (19次)","GOOG-GOOGL (19次), AVB-CPT (6次), EVRG-XEL (3次)"
2010,4487.6,-135.55,4352.05,-3.02,-37.83,-1.239,-3.31,"Utilities (36次), Communication Services (19次), Industrials (11次)","GOOG-GOOGL (19次), ECL-IFF (3次), ES-WEC (3次)"
2011,4352.05,-301.0,4051.04,-6.92,-42.13,-2.845,-7.55,"Utilities (47次), Communication Services (19次), Real Estate (14次)","GOOG-GOOGL (19次), SO-WEC (5次), WEC-XEL (4次)"
2012,4051.04,-225.44,3825.61,-5.56,-45.35,-2.673,-5.68,"Utilities (41次), Real Estate (19次), Communication Services (18次)","GOOG-GOOGL (18次), AVB-ESS (6次), WEC-XEL (4次)"
2013,3825.61,-231.9,3593.71,-6.06,-48.66,-2.075,-6.98,"Utilities (33次), Communication Services (19次), Real Estate (18次)","GOOG-GOOGL (19次), AVB-ESS (5次), DTE-ES (4次)"
2014,3593.71,-315.33,3278.37,-8.77,-53.17,-2.291,-8.94,"Utilities (42次), Financials (14次), Real Estate (10次)","GOOG-GOOGL (9次), CMS-XEL (8次), DTE-WEC (5次)"
2015,3278.37,-107.89,3170.48,-3.29,-54.71,-0.891,-4.69,"Utilities (42次), Financials (23次), Real Estate (18次)","CMS-XEL (6次), ATO-NEE (5次), AIV-AVB (4次)"
2016,3170.48,-238.64,2931.85,-7.53,-58.12,-1.928,-10.01,"Utilities (43次), Financials (27次), Health Care (7次)","CMS-XEL (12次), ES-PNW (5次), JPM-USB (5次)"
2017,2931.85,-255.41,2676.44,-8.71,-61.77,-2.852,-9.47,"Utilities (58次), Financials (13次), Industrials (6次)","CMS-XEL (9次), DUK-ED (7次), NWS-NWSA (4次)"
2018,2676.44,-217.73,2458.71,-8.14,-64.88,-1.955,-9.45,"Utilities (53次), Real Estate (12次), Financials (11次)","NWS-NWSA (9次), AEP-DUK (5次), AEP-DTE (5次)"
2019,2458.71,-343.65,2115.05,-13.98,-69.78,-3.393,-13.57,"Utilities (54次), Real Estate (15次), Financials (11次)","AEP-XEL (7次), CMS-FE (5次), EVRG-EXC (4次)"
2020,2115.05,-405.85,1709.2,-19.19,-75.58,-2.343,-18.16,"Financials (33次), Utilities (32次), Real Estate (10次)","NWS-NWSA (8次), RF-TFC (8次), AVB-CPT (4次)"
2021,1709.2,-65.81,1643.39,-3.85,-76.52,-0.437,-8.61,"Utilities (35次), Financials (26次), Industrials (14次)","D-WEC (7次), RF-TFC (5次), IEX-UNP (4次)"
2022,1643.39,-475.74,1167.65,-28.95,-83.32,-4.306,-26.48,"Utilities (44次), Financials (15次), Industrials (13次)","D-WEC (8次), AEE-ETR (5次), GOOG-GOOGL (5次)"
2023,1167.65,-220.46,947.19,-18.88,-86.47,-1.924,-17.62,"Utilities (29次), Financials (17次), Communication Services (17次)","GOOG-GOOGL (8次), NWS-NWSA (7次), PAYX-UNP (5次)"
2024,947.19,-250.4,696.79,-26.44,-90.05,-1.396,-30.51,"Utilities (39次), Industrials (17次), Financials (14次)","CMS-FE (11次), ITW-SNA (5次), AVB-INVH (4次)"
2025,696.79,85.81,782.6,12.32,-88.82,0.666,-11.83,"Utilities (19次), Financials (11次), Energy (10次)","CPT-EQR (4次), PSX-SLB (4次), CMS-FE (3次)"
