Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Vol_Adjust,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,0,NoVolAdj,9326.571,-0.06705314,-0.01720208,-1.7921785071421321,-0.06893521,969,605,1102.23974609375,-1775.66845703125,1968,0.21747967479674796,0.6207463683488474,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,0,NoVolAdj,9390.331,-0.06129098,-0.015688062,-1.9873088702723005,-0.064971335,1154,692,1123.530029296875,-1733.1988525390625,2318,0.2277825711820535,0.6482406953194962,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,0,VolAdj,9425.426,-0.058970988,-0.015080452,-1.6638039714742021,-0.06435408,1120,625,1254.5255126953125,-1829.10009765625,2249,0.22810137839039574,0.6858703437295866,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,20,NoVolAdj,8563.248,-0.14267546,-0.037753582,-2.3117458797321095,-0.14433907,1888,310,2751.135498046875,-4187.8876953125,3796,0.29610115911485774,0.6569267607453321,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,60,NoVolAdj,9374.788,-0.06225735,-0.0159415,-1.1286714741819086,-0.08948209,837,333,1819.4935302734375,-2444.70556640625,1696,0.26297169811320753,0.7442587587134746,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,20,VolAdj,8555.476,-0.14345366,-0.037971973,-2.3230499982805757,-0.14504926,1898,293,2704.492431640625,-4149.0166015625,3814,0.2962768746722601,0.6518393854153599,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,60,VolAdj,9329.143,-0.06787562,-0.017418742,-1.0076456636567943,-0.09594123,1226,620,2067.638671875,-2738.495849609375,2484,0.26811594202898553,0.7550271336616897,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,60,NoVolAdj,9416.928,-0.05910486,-0.0151154995,-1.1625272510393694,-0.084764354,931,410,1864.012939453125,-2447.08544921875,1901,0.2645975802209363,0.7617277688640685,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,0,NoVolAdj,9326.571,-0.06705314,-0.01720208,-1.7921785071421321,-0.06893521,969,605,1102.23974609375,-1775.66845703125,1968,0.21747967479674796,0.6207463683488474,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,0,NoVolAdj,9390.331,-0.06129098,-0.015688062,-1.9873088702723005,-0.064971335,1154,692,1123.530029296875,-1733.1988525390625,2318,0.2277825711820535,0.6482406953194962,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.0,20,NoVolAdj,8527.884,-0.14659834,-0.03885621,-2.227328354444086,-0.14752984,1862,229,2819.48876953125,-4291.6044921875,3730,0.3002680965147453,0.6569777747842069,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,20,NoVolAdj,8566.388,-0.14236116,-0.037665367,-2.3128150786476795,-0.14402515,1884,312,2742.494140625,-4176.1064453125,3788,0.2964625131995776,0.6567107846839804,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,20,VolAdj,8558.328,-0.14316773,-0.037891746,-2.3242381132535996,-0.14476402,1894,295,2695.927978515625,-4137.6005859375,3806,0.29663688912243824,0.6515679613151398,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,20,NoVolAdj,8538.0,-0.14558595,-0.038571298,-2.211676981041718,-0.14651823,1858,231,2810.29296875,-4272.2919921875,3722,0.30037614185921546,0.657795153956945,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,60,NoVolAdj,9381.964,-0.06153989,-0.015753329,-1.1349269579825838,-0.08876211,835,336,1804.9615478515625,-2422.998046875,1692,0.2624113475177305,0.7449290147713762,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,0,VolAdj,9425.426,-0.058970988,-0.015080452,-1.6638039714742021,-0.06435408,1120,625,1254.5255126953125,-1829.10009765625,2249,0.22810137839039574,0.6858703437295866,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.15,60,NoVolAdj,9387.353,-0.06205988,-0.015889704,-1.2278670234493576,-0.08764756,929,413,1849.16552734375,-2461.8125,1897,0.26410121244069584,0.7511398724897814,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL15_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,NoVolAdj,9399.009,-0.060423613,-0.015460789,-1.9990879144890277,-0.064461656,1142,684,1120.877685546875,-1721.8690185546875,2294,0.22842197035745423,0.650965708464703,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),10,0.05,0,NoVolAdj,9340.722,-0.06563747,-0.01682949,-1.8071380493284679,-0.067817196,967,607,1104.3170166015625,-1763.595703125,1964,0.21792260692464357,0.6261735695118615,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top10_SL5_ZWin0.csv
